Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
State Management,Remote state with locking,"remote state, state lock, s3 backend, dynamodb lock","Local state files (or remote state without locking) let two people run terraform apply concurrently, corrupting state or causing conflicting infrastructure changes.","Use a remote backend (S3+DynamoDB, Azure Storage+lease, Terraform Cloud) with native state locking enabled.","Store terraform.tfstate locally or in a backend with no locking mechanism.","terraform {\n  backend ""s3"" {\n    bucket = ""tf-state""\n    key    = ""prod/terraform.tfstate""\n    dynamodb_table = ""tf-locks""\n  }\n}",CRITICAL,https://developer.hashicorp.com/terraform/language/backend/s3
Structure,Module structure and reuse,"terraform module, root module, module composition","A single flat root module with hundreds of resources becomes unreviewable and untestable; well-scoped modules (network, compute, database) composed from a root module scale much better.","Break infrastructure into small, focused modules with clear inputs/outputs, composed from thin root modules per environment.","Put every resource for every environment in one giant main.tf.","module ""vpc"" {\n  source = ""./modules/vpc""\n  cidr   = var.vpc_cidr\n}",MEDIUM,https://developer.hashicorp.com/terraform/language/modules/develop
Environments,Workspaces vs directory-per-environment,"terraform workspace, environment separation, tfvars","Terraform workspaces share the same backend config and module code, which is convenient but makes it easy to accidentally apply against the wrong environment if you forget which workspace is selected.","For meaningfully different environments (prod vs dev), prefer separate state files/directories with explicit backend config over workspaces, or always verify with terraform workspace show before apply.","Rely on remembering which workspace is selected before running terraform apply against production.","terraform workspace show\nterraform workspace select prod",MEDIUM,https://developer.hashicorp.com/terraform/language/state/workspaces
Workflow,Plan review discipline,"terraform plan, apply, ci gate, plan review","Running terraform apply directly (especially with -auto-approve) without reviewing the plan output risks unintended resource replacement or deletion slipping through.","Always review terraform plan output for unexpected 'destroy' or 'replace' actions before apply, and gate apply behind a human or CI approval step.","Run terraform apply -auto-approve directly against production without a plan review.","terraform plan -out=tfplan\nterraform show tfplan",HIGH,https://developer.hashicorp.com/terraform/cli/commands/plan
Providers,Provider and module version pinning,"provider version, version constraint, terraform lock file","Unpinned provider versions mean the same configuration can silently pull a new major provider version with breaking changes on the next terraform init.","Pin provider versions with a tight constraint and commit .terraform.lock.hcl to version control.","Leave provider blocks with no version constraint.","terraform {\n  required_providers {\n    aws = { source = ""hashicorp/aws"", version = ""~> 5.40"" }\n  }\n}",MEDIUM,https://developer.hashicorp.com/terraform/language/providers/requirements
Operations,Drift detection,"terraform drift, plan diff, manual changes, configuration drift","Manual console changes made outside Terraform silently drift from the state file; the next plan/apply may revert a legitimate emergency fix or fail unexpectedly.","Run scheduled terraform plan (drift detection) in CI and treat any unexpected diff as an incident to investigate, not auto-apply.","Make emergency changes in the cloud console and never reconcile them back into Terraform.","terraform plan -detailed-exitcode",MEDIUM,https://developer.hashicorp.com/terraform/cloud-docs/workspaces/health
Security,Sensitive variables and outputs,"sensitive variable, tfvars secrets, state file secrets","Terraform state stores resource attributes in plain text, including secrets like generated passwords, unless marked sensitive -- and even then state itself must be protected, not just console output.","Mark secret-bearing variables/outputs as sensitive, and treat the state file itself as sensitive data (encrypt at rest, restrict access).","Commit .tfvars files containing plaintext credentials to version control.","variable ""db_password"" {\n  type      = string\n  sensitive = true\n}",CRITICAL,https://developer.hashicorp.com/terraform/language/values/variables#suppressing-values-in-cli-output
Language,count vs for_each,"count, for_each, resource addressing, terraform loop","Using count to create multiple similar resources means removing an item from the middle of the list shifts every subsequent resource's index, forcing Terraform to destroy/recreate resources that didn't actually change.","Use for_each with a map/set of stable keys instead of count whenever resource identity matters.","Use count over a list for resources where list order/membership will change over time.","resource ""aws_instance"" ""this"" {\n  for_each = var.instances\n  ami      = each.value.ami\n}",MEDIUM,https://developer.hashicorp.com/terraform/language/meta-arguments/for_each
Operations,Importing existing resources,"terraform import, existing infrastructure, adopt resource","Manually recreating existing cloud resources in Terraform instead of importing them risks a duplicate resource or, worse, a destroy/recreate of something already serving traffic.","Use terraform import (or the import block in newer versions) to bring existing resources under management before making config changes.","Write a new resource block for infrastructure that already exists and let terraform apply try to recreate it.","terraform import aws_s3_bucket.data my-existing-bucket",MEDIUM,https://developer.hashicorp.com/terraform/cli/import
Security,State file access control,"state file, tfstate secrets, backend encryption, access control","Because tfstate can contain secrets and full resource metadata, an S3 bucket storing state without encryption and bucket policies is a high-value target if it's ever misconfigured public.","Enable encryption at rest and bucket policies restricting access on the state backend, separate from general application storage.","Store terraform state in the same public or loosely-permissioned bucket as application assets.","aws s3api put-bucket-encryption --bucket tf-state --server-side-encryption-configuration file://enc.json",CRITICAL,https://developer.hashicorp.com/terraform/language/state/sensitive-data
Language,Variable validation,"variable validation, input validation, terraform variable","Without validation blocks, a typo'd environment name or out-of-range value only surfaces as a confusing provider error deep into apply, instead of failing fast at plan time.","Add validation blocks to catch obviously invalid input (wrong environment name, bad CIDR) before plan/apply runs.","Accept any string for critical inputs like environment or region with no validation.","variable ""environment"" {\n  type = string\n  validation {\n    condition     = contains([""dev"", ""staging"", ""prod""], var.environment)\n    error_message = ""environment must be dev, staging, or prod.""\n  }\n}",LOW,https://developer.hashicorp.com/terraform/language/values/variables#custom-validation-rules
Workflow,Destroy protection,"prevent_destroy, lifecycle, accidental deletion","A single terraform destroy (or a plan that includes an unintended replace) can delete a production database with no confirmation beyond a yes/no prompt in CI.","Set lifecycle { prevent_destroy = true } on critical stateful resources like production databases.","Leave production databases and other critical stateful resources without prevent_destroy.","resource ""aws_db_instance"" ""prod"" {\n  lifecycle {\n    prevent_destroy = true\n  }\n}",HIGH,https://developer.hashicorp.com/terraform/language/meta-arguments/lifecycle#prevent_destroy
Structure,Remote module versioning,"module source, module version, git ref, registry module","Referencing a module by a mutable git branch (?ref=main) means the same root config can silently pull different module code on the next init, breaking reproducibility.","Pin remote module sources to a specific tag/version, not a branch.","Reference shared modules via ?ref=main or with no ref at all.","module ""vpc"" {\n  source  = ""git::https://example.com/vpc.git?ref=v1.4.0""\n}",MEDIUM,https://developer.hashicorp.com/terraform/language/modules/sources
