Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Deployment Strategy,Deployment gate design,"deployment gate, approval gate, quality gate, release gate","Deploying to production purely on 'CI passed' with no additional gate (smoke test, canary check, manual approval for high-risk changes) misses failure modes that only show up under real traffic.","Layer deployment gates appropriately to risk: automated smoke tests always, manual approval for high-blast-radius changes.","Treat 'unit tests passed' as sufficient signal to auto-deploy any change straight to production.","stage: deploy-prod\n  when: manual\n  needs: [smoke-test]",HIGH,https://docs.github.com/en/actions/deployment/targeting-different-environments/using-environments-for-deployment
Artifact Management,"Build once, promote across environments","artifact promotion, build once deploy many, immutable artifact","Rebuilding from source separately for each environment (dev, staging, prod) means the artifact actually tested in staging isn't guaranteed to be bit-identical to what deploys to production.","Build a single immutable artifact once, then promote that exact artifact through each environment without rebuilding.","Rebuild from source code for each environment's deployment, risking drift between what was tested and what ships.","docker tag myapp:1234 myapp:staging && docker tag myapp:1234 myapp:prod # same image, different labels",HIGH,https://docs.docker.com/build/ci/
Reliability,Rollback strategy,"rollback, rollback plan, deployment failure recovery","Discovering how to roll back a bad deployment for the first time during an actual incident wastes critical minutes; the rollback path needs to be tested and fast before it's needed.","Define and regularly test an explicit rollback mechanism (previous artifact redeploy, feature flag kill switch) before it's needed in an incident.","Design a deployment pipeline with no tested rollback path, discovering the process for the first time during an outage.","kubectl rollout undo deployment/app",CRITICAL,https://kubernetes.io/docs/tutorials/kubernetes-basics/update/update-intro/
Deployment Strategy,Canary and blue-green deployment,"canary deployment, blue-green deployment, progressive rollout","Deploying a new version to 100% of traffic simultaneously means any bug affects every user at once, with no way to catch it on a small subset first.","Use canary (small percentage first) or blue-green (parallel environment cutover) deployment for user-facing services where a bad release is costly.","Deploy every change directly to 100% of production traffic with no progressive rollout mechanism.","# canary: route 5% traffic to new version, monitor error rate, then ramp to 100%",MEDIUM,https://kubernetes.io/docs/concepts/cluster-administration/manage-deployment/#canary-deployments
Security,Secrets management in pipelines,"pipeline secrets, secret injection, ci secrets exposure","Echoing secrets to build logs, or storing them as plaintext pipeline variables visible to all pipeline maintainers, is a routine source of credential leaks in CI/CD systems.","Use the CI platform's native secret store with masking, and scope secret access to only the specific jobs/environments that need it.","Store credentials as plaintext pipeline variables visible in logs or to all repository contributors.","echo ""::add-mask::$SECRET_VALUE""",CRITICAL,https://docs.github.com/en/actions/security-guides/using-secrets-in-github-actions
Governance,Pipeline as code,"pipeline as code, ci config in repo, infrastructure as code for ci","Configuring build/deploy steps through a CI tool's web UI leaves the pipeline definition untracked and unreviewable through the normal PR process.","Define pipelines as versioned code (Jenkinsfile, .github/workflows, .gitlab-ci.yml) reviewed through the same PR process as application code.","Configure critical build/deploy steps exclusively through a CI platform's web UI with no version-controlled definition.","# .github/workflows/deploy.yml committed alongside application code",MEDIUM,https://docs.github.com/en/actions/using-workflows/about-workflows
Release Management,Feature flags vs long-lived branches,"feature flags, trunk-based development, long-lived branch, merge conflict","Long-lived feature branches accumulate merge conflicts and delay integration feedback; feature flags let incomplete work merge to main continuously while staying dark until ready.","Prefer trunk-based development with feature flags gating incomplete functionality over long-lived feature branches.","Maintain feature branches open for weeks/months, deferring integration and multiplying merge conflict risk.","if feature_flags.is_enabled('new_checkout_flow', user): ...",MEDIUM,https://martinfowler.com/bliki/FeatureToggle.html
Reliability,Build reproducibility,"reproducible build, build determinism, non-deterministic build","A build that produces different output from identical source (due to unpinned dependencies, timestamps, or non-deterministic ordering) makes debugging production incidents against 'what actually shipped' unreliable.","Pin all dependency versions and eliminate non-deterministic inputs (timestamps, random ordering) from the build process.","Allow floating dependency versions or non-deterministic build steps that can produce different artifacts from the same source commit.","docker build --build-arg SOURCE_DATE_EPOCH=$(git log -1 --format=%ct) .",MEDIUM,https://reproducible-builds.org/
Testing,Test suite performance in CI,"flaky test, ci runtime, test parallelization, slow pipeline","A CI pipeline that takes 45+ minutes (or has flaky, non-deterministic tests) trains developers to ignore or work around it, defeating its purpose as a quality gate.","Parallelize test execution, quarantine/fix flaky tests promptly, and keep the critical-path pipeline fast enough that developers actually wait for it.","Let flaky tests linger unfixed for months, training the team to re-run CI until it passes instead of investigating failures.","pytest -n auto tests/",MEDIUM,https://docs.github.com/en/actions/using-jobs/using-a-matrix-for-your-jobs
Observability,Deployment tracking and correlation,"deployment marker, change correlation, deployment event","Without recording deployment events against a timeline, correlating a metric regression or incident with 'what changed' requires manually cross-referencing commit history and guessing timing.","Emit a deployment marker/event (to your monitoring/APM tool) on every deploy so incidents can be correlated against exact deploy timing.","Deploy changes with no recorded event correlating deploy time to monitoring dashboards, forcing manual correlation during incidents.","curl -X POST $APM_URL/deployments -d '{""version"": ""1.2.3"", ""environment"": ""prod""}'",LOW,https://docs.datadoghq.com/tracing/services/deployment_tracking/
