Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Reliability,Tool-use error handling,"tool error, retry logic, agent error handling, tool failure","An agent that treats every tool call as guaranteed to succeed breaks completely on the first transient API error, timeout, or malformed response instead of adapting.","Design tools to return structured error information the agent can reason about, and give the agent explicit guidance on when to retry vs. escalate vs. give up.","Let a single tool failure crash the entire agent loop with no graceful degradation path.","{'error': 'rate_limited', 'retry_after_seconds': 30}",HIGH,https://docs.anthropic.com/en/docs/build-with-claude/tool-use
Reliability,Agent loop termination conditions,"loop termination, max iterations, infinite loop, stopping condition","An agent loop with no maximum iteration count or clear success/failure exit condition can run indefinitely, burning tokens and cost on a task it's not converging toward.","Set an explicit max iteration/turn budget and clear termination criteria (task complete, blocked, needs human input) for every agent loop.","Run an agent loop with no upper bound on iterations or tool calls.","if turn_count > MAX_TURNS: escalate_to_human()",HIGH,https://www.anthropic.com/engineering/building-effective-agents
Security,Permission boundaries for autonomous actions,"authorization boundary, autonomous action, destructive action, agent permissions","Giving an agent unrestricted access to destructive tools (delete, deploy, send-payment) with no scoping means a single reasoning error or prompt injection can cause real-world damage.","Scope agent tool permissions to the minimum needed per task, and gate irreversible/high-blast-radius actions behind explicit approval.","Grant an autonomous agent unrestricted access to destructive or financial actions with no human checkpoint.","if action.is_destructive: require_human_approval(action)",CRITICAL,https://www.anthropic.com/engineering/building-effective-agents
Performance,Context window management,"context window, token budget, context truncation, memory","Letting conversation/tool-output history grow unbounded eventually exceeds the context window or silently degrades reasoning quality well before the hard limit is hit.","Actively manage context: summarize or prune old turns, and keep tool outputs concise rather than dumping raw unfiltered data into context.","Append every tool call's full raw output to context indefinitely across a long-running agent session.","if len(history) > threshold: history = summarize_and_truncate(history)",MEDIUM,https://www.anthropic.com/engineering/building-effective-agents
Architecture,Multi-agent handoff patterns,"multi-agent, orchestrator, subagent handoff, agent delegation","A poorly-defined handoff between orchestrator and subagents (ambiguous task scope, missing context) causes subagents to redo work or miss the actual intent of the delegated task.","Give delegated subagents self-contained context: the goal, relevant constraints, and what's already been tried, not just a one-line instruction.","Delegate a task to a subagent with a terse instruction and no context about prior findings or constraints.","Agent(description='...', prompt='Goal: X. Context already gathered: Y. Constraints: Z.')",MEDIUM,https://www.anthropic.com/engineering/building-effective-agents
Observability,Evaluation and tracing for agents,"agent evaluation, observability, tracing, eval harness","Shipping agent changes with no eval suite means regressions in reasoning quality or tool-use correctness are only discovered when users hit them in production.","Build a regression eval suite of representative tasks with pass/fail or graded criteria, run before shipping agent prompt/tool changes.","Ship changes to agent prompts or tool definitions with no automated evaluation against known test cases.","pytest evals/test_agent_tasks.py -v",MEDIUM,https://www.anthropic.com/engineering/building-effective-agents
Security,Prompt injection from tool outputs,"prompt injection, untrusted tool output, indirect injection","Tool outputs from external sources (web pages, emails, documents) can contain text crafted to hijack the agent's instructions -- treating tool output as trusted input is a direct injection vector.","Treat all tool output as untrusted data, not instructions; use clear structural separation and consider a lower-privilege model pass to sanitize/summarize untrusted content before it reaches the main reasoning loop.","Treat text returned from web searches, scraped pages, or emails as trusted instructions the agent should follow.","# tool output is data to reason about, never a command to execute",CRITICAL,https://www.anthropic.com/engineering/building-effective-agents
Human Oversight,Human-in-the-loop checkpoints,"human review, approval gate, hitl, checkpoint","Fully autonomous execution of multi-step, high-consequence plans with no review point means an early wrong assumption compounds silently across every subsequent step.","Insert human review checkpoints before irreversible actions or after a plan is formed but before execution begins, especially for high-consequence tasks.","Let a multi-step autonomous plan execute fully end-to-end with no human checkpoint for high-stakes actions.","plan = agent.propose_plan(task)\nawait get_human_approval(plan)",HIGH,https://www.anthropic.com/engineering/building-effective-agents
Architecture,Tool design for reliability,"tool schema, tool description, tool granularity","Vague or overly broad tool descriptions (a single 'do_anything' tool) make it hard for the model to pick the right action reliably; overly narrow tools multiply the decision surface unnecessarily.","Design tools with clear, specific purposes and explicit descriptions of inputs/outputs/side effects, at a granularity that maps to real decisions.","Expose one giant catch-all tool with a vague description covering many unrelated operations.","{'name': 'create_calendar_event', 'description': 'Creates a single calendar event with title, time, and attendees.'}",MEDIUM,https://docs.anthropic.com/en/docs/build-with-claude/tool-use
Reliability,Idempotency of agent-triggered actions,"idempotent action, duplicate side effect, retry safety","An agent that retries a failed tool call without the underlying action being idempotent can trigger duplicate side effects (double charge, double email) on retry.","Design side-effecting tools to be idempotent (via idempotency keys or check-before-act) so agent retries are safe.","Let an agent retry a non-idempotent action (like 'send payment') after an ambiguous or timed-out response.","charge_customer(amount, idempotency_key=request_id)",HIGH,https://docs.anthropic.com/en/docs/build-with-claude/tool-use
Cost Control,Model and reasoning-effort selection per task,"model selection, cost efficiency, reasoning effort, right-sizing","Routing every subtask through the largest, most expensive model regardless of complexity burns cost and latency on tasks a smaller/faster model could handle just as well.","Route simple, well-defined subtasks to smaller/faster models or lower reasoning effort, reserving the most capable model for genuinely hard reasoning.","Use the most expensive model configuration uniformly for every subtask regardless of complexity.","model='haiku' for classification, model='opus' for complex multi-step planning",LOW,https://docs.anthropic.com/en/docs/about-claude/models
Architecture,State and memory persistence design,"agent memory, session state, persistent context","An agent with no persistent memory across sessions re-derives the same context repeatedly, wasting tokens and losing continuity on long-running or recurring tasks.","Persist relevant task state/decisions outside the context window (files, a memory store) and load only what's relevant per session.","Rebuild full context from scratch every session with no persisted state for long-running or recurring agent work.","memory.save('project_status.md', current_state)",LOW,https://www.anthropic.com/engineering/building-effective-agents
