Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Pipeline Design,Declarative vs scripted pipelines,"declarative pipeline, scripted pipeline, jenkinsfile","Scripted pipelines (raw Groovy) are powerful but harder to lint, review, and secure than declarative pipelines' constrained, structured syntax.","Default to declarative pipeline syntax; drop into scripted blocks (script {}) only for logic declarative can't express.","Write an entire complex pipeline in raw scripted Groovy when declarative syntax would cover it.","pipeline {\n  agent any\n  stages { stage('Build') { steps { sh 'make build' } } }\n}",LOW,https://www.jenkins.io/doc/book/pipeline/syntax/
Infrastructure,Agent and label strategy,"jenkins agent, label, node selector, build isolation","Running all builds on the controller node (agent any resolving to master) risks resource contention and security exposure on the node that also manages Jenkins itself.","Run builds on labeled, disposable agents (containers or ephemeral VMs), never on the Jenkins controller.","Execute build steps directly on the Jenkins controller node.","agent { label 'linux-docker' }",HIGH,https://www.jenkins.io/doc/book/using/using-agents/
Security,Credentials binding,"credentials binding, jenkins secrets, withCredentials","Echoing credentials to console output or hardcoding them in Jenkinsfiles leaks secrets into build logs that are often broadly readable.","Use withCredentials/credentials() bindings so secrets are masked in logs and injected only into the scope that needs them.","Hardcode API tokens or passwords directly in Jenkinsfile sh steps.","withCredentials([string(credentialsId: 'api-token', variable: 'TOKEN')]) {\n  sh 'curl -H ""Authorization: Bearer $TOKEN"" ...'\n}",CRITICAL,https://www.jenkins.io/doc/book/using/using-credentials/
Reuse,Shared libraries,"shared library, jenkins pipeline reuse, vars directory","Copy-pasting the same 200-line Jenkinsfile across dozens of repos means a fix or policy change has to be applied everywhere by hand.","Extract common pipeline logic into a versioned Shared Library imported via @Library, with per-repo Jenkinsfiles staying thin.","Maintain near-duplicate Jenkinsfiles across every repository.","@Library('my-shared-lib@v2') _\nstandardBuild()",MEDIUM,https://www.jenkins.io/doc/book/pipeline/shared-libraries/
Performance,Parallel stages,"parallel stage, pipeline parallelism, build speed","Running independent stages (lint, unit tests, security scan) sequentially wastes wall-clock time when they have no dependency on each other.","Use the parallel directive to run independent, non-dependent stages concurrently.","Chain unrelated stages sequentially when they could run in parallel.","stage('Checks') {\n  parallel {\n    stage('Lint') { steps { sh 'make lint' } }\n    stage('Test') { steps { sh 'make test' } }\n  }\n}",LOW,https://www.jenkins.io/doc/book/pipeline/syntax/#parallel
Governance,Pipeline as code in the repo,"jenkinsfile, pipeline as code, scm","Configuring pipeline steps through the Jenkins UI ('freestyle' jobs) leaves the build definition untracked, unreviewable, and easy to accidentally change in production.","Keep the pipeline definition (Jenkinsfile) in the same repo as the code it builds, reviewed via normal PR process.","Configure build steps via the Jenkins web UI outside of version control.","checkout scm // Jenkinsfile lives in repo root",MEDIUM,https://www.jenkins.io/doc/book/pipeline/jenkinsfile/
Maintenance,Plugin sprawl risk,"jenkins plugin, plugin sprawl, security patching","Every installed plugin is an additional attack surface and upgrade dependency; unmaintained or rarely-used plugins are a common source of Jenkins CVEs and upgrade breakage.","Periodically audit installed plugins, remove unused ones, and keep the rest patched to current versions.","Install plugins liberally and never revisit or prune the list.","jenkins-plugin-cli --list",MEDIUM,https://www.jenkins.io/doc/book/managing/plugins/
Storage,Build artifact retention,"artifact retention, build discarder, disk usage","Keeping every build's artifacts and logs forever silently fills the Jenkins controller's disk until builds start failing with no obvious cause.","Configure a build discarder (retain last N builds or N days) per job to bound artifact/log storage.","Leave artifact and build log retention unbounded on high-frequency jobs.","options {\n  buildDiscarder(logRotator(numToKeepStr: '30'))\n}",LOW,https://www.jenkins.io/doc/book/pipeline/syntax/#options
Reliability,Post-build actions and notifications,"post block, always, failure, notification","Without a post { failure {} } block wired to a notification channel, a broken pipeline can sit red for hours before anyone notices.","Add post { success/failure/always {} } blocks that notify the right channel (Slack, email) on build outcome.","Leave a pipeline with no post-build notification on failure.","post {\n  failure { slackSend(channel: '#ci', message: ""Build failed: ${env.JOB_NAME}"") }\n}",MEDIUM,https://www.jenkins.io/doc/book/pipeline/syntax/#post
Security,Sandboxed script approval,"script approval, groovy sandbox, csrf","Approving arbitrary Groovy script signatures in the Script Approval queue without review can let a malicious Jenkinsfile execute unsandboxed code on the controller.","Review each Script Approval request individually; prefer pipeline steps/shared library functions over raw Groovy sandbox escapes.","Bulk-approve pending script signatures without reviewing what each one does.","Manage Jenkins > In-process Script Approval",HIGH,https://www.jenkins.io/doc/book/managing/script-approval/
Pipeline Design,Input steps and manual gates,"input step, manual approval, deployment gate","Deploying straight to production with no manual approval step removes the last human checkpoint before a change reaches customers.","Use the input step to require explicit human approval before production-impacting stages.","Auto-deploy every merge to main straight to production with no gate.","stage('Deploy Prod') {\n  input message: 'Deploy to production?'\n  steps { sh 'deploy.sh prod' }\n}",MEDIUM,https://www.jenkins.io/doc/book/pipeline/syntax/#stage
Infrastructure,Ephemeral Docker agents,"docker agent, kubernetes plugin, ephemeral build agent","Long-lived static build agents accumulate leftover state (cached deps, stray files) between builds, causing 'works on this agent only' flakiness.","Use ephemeral Docker or Kubernetes-plugin agents that start clean for every build and are destroyed after.","Reuse the same long-lived VM agent across hundreds of unrelated builds.","agent {\n  kubernetes { yaml libraryResource('pod-templates/build.yaml') }\n}",MEDIUM,https://plugins.jenkins.io/kubernetes/
Performance,Pipeline timeout guards,"timeout, pipeline hang, stuck build","A pipeline with no timeout can hang indefinitely on a stuck step (waiting on a dead external service), tying up an agent slot for hours.","Set a timeout at the pipeline or stage level so hung builds fail fast and free the agent.","Run pipelines with no configured timeout on any stage.","options {\n  timeout(time: 30, unit: 'MINUTES')\n}",LOW,https://www.jenkins.io/doc/book/pipeline/syntax/#options
