Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Reuse,Reusable workflows,"reusable workflow, workflow_call, workflow composition","Duplicating the same build/test steps across dozens of workflow files means a fix has to be copy-pasted into every repo/workflow separately.","Extract common CI logic into a reusable workflow triggered via workflow_call, referenced with a pinned ref.","Copy-paste the same 100-line job definition into every repo's workflow file.","jobs:\n  call-shared:\n    uses: org/repo/.github/workflows/build.yml@v1",MEDIUM,https://docs.github.com/en/actions/using-workflows/reusing-workflows
Security,Secrets vs environment protection rules,"environment protection, required reviewers, secrets scoping","Repository-level secrets are available to every workflow run including PRs from forks; environment-scoped secrets with required reviewers gate access to only approved deployment runs.","Scope deployment secrets to a GitHub Environment with required reviewers, not repository-wide secrets.","Store production deployment credentials as plain repository secrets accessible to any workflow.","environment:\n  name: production",HIGH,https://docs.github.com/en/actions/deployment/targeting-different-environments/using-environments-for-deployment
Performance,Caching dependencies,"actions/cache, dependency caching, build speed","Reinstalling the same unchanged dependencies (node_modules, pip packages) on every single run wastes minutes per build across hundreds of runs a month.","Use actions/cache (or setup-* action built-in caching) keyed on the lockfile hash for dependency directories.","Reinstall all dependencies from scratch on every workflow run with no cache key.","- uses: actions/cache@v4\n  with:\n    path: ~/.npm\n    key: ${{ runner.os }}-npm-${{ hashFiles('package-lock.json') }}",LOW,https://docs.github.com/en/actions/using-workflows/caching-dependencies-to-speed-up-workflows
Testing,Matrix builds,"matrix strategy, multi-version testing, fail-fast","Testing against only one language/OS version misses compatibility bugs that show up on versions your users actually run.","Use a matrix strategy to test across the supported version/OS combinations in parallel.","Test against a single hardcoded runtime version and assume it represents all supported versions.","strategy:\n  matrix:\n    node: [18, 20, 22]",LOW,https://docs.github.com/en/actions/using-jobs/using-a-matrix-for-your-jobs
Security,Least-privilege GITHUB_TOKEN permissions,"github_token, permissions, least privilege, workflow permissions","The default GITHUB_TOKEN can have broad repo write permissions unless explicitly scoped down, letting a compromised action in the workflow do far more damage than the job needs.","Set explicit, minimal permissions: at the workflow or job level (e.g. contents: read) instead of relying on the default.","Leave permissions unset and rely on the (often overly broad) repository default token permissions.","permissions:\n  contents: read\n  pull-requests: write",CRITICAL,https://docs.github.com/en/actions/security-guides/automatic-token-authentication#permissions-for-the-github_token
Security,Self-hosted runner security,"self-hosted runner, runner isolation, fork pr","Self-hosted runners that execute workflows triggered by pull_request from forks can let an external contributor run arbitrary code on your infrastructure.","Restrict self-hosted runners to trusted workflows (pull_request_target with care, or require approval for fork PRs); prefer ephemeral, isolated runners.","Let untrusted fork pull requests trigger workflows that execute on persistent self-hosted runners.","on:\n  pull_request_target:\n    types: [opened]",CRITICAL,https://docs.github.com/en/actions/hosting-your-own-runners/managing-self-hosted-runners/security-hardening-for-github-actions
Concurrency,Concurrency groups,"concurrency group, cancel-in-progress, duplicate runs","Without a concurrency group, pushing several commits in quick succession queues up redundant runs that all eventually complete, wasting minutes and creating confusing overlapping deployments.","Set a concurrency group (often keyed on branch/PR) with cancel-in-progress: true for CI and deploy workflows.","Let every push trigger a fresh full run with no cancellation of superseded in-progress runs.","concurrency:\n  group: ${{ github.workflow }}-${{ github.ref }}\n  cancel-in-progress: true",LOW,https://docs.github.com/en/actions/using-jobs/using-concurrency
Storage,Artifact retention limits,"artifact retention, storage cost, retention-days","Default 90-day artifact retention across many workflows and large build outputs quietly consumes storage quota and cost over time.","Set retention-days explicitly per artifact based on actual need (often 1-7 days for CI-only artifacts).","Leave every artifact upload on the default retention with no explicit expiry.","- uses: actions/upload-artifact@v4\n  with:\n    retention-days: 5",LOW,https://docs.github.com/en/actions/using-workflows/storing-workflow-data-as-artifacts
Security,Pinning actions to a commit SHA,"action pinning, supply chain, third-party action","Referencing a third-party action by a mutable tag (@v1) lets the action's maintainer (or an attacker who compromises their account) silently change what code runs in your pipeline.","Pin third-party actions to a full commit SHA, not a mutable tag, especially for actions with write access to secrets.","Reference third-party actions by a floating major-version tag like @v1.","uses: actions/checkout@8f4b7f84 # v4.1.1",HIGH,https://docs.github.com/en/actions/security-guides/security-hardening-for-github-actions#using-third-party-actions
Workflow Design,Trigger scoping with paths/branches,"on push, paths filter, workflow trigger","A workflow triggered on every push to every branch/path runs CI on documentation-only changes and irrelevant branches, burning minutes.","Scope triggers with paths/paths-ignore and branches filters to run workflows only when relevant files change.","Trigger the full test suite on every push regardless of what files changed.","on:\n  push:\n    paths: ['src/**']",LOW,https://docs.github.com/en/actions/using-workflows/workflow-syntax-for-github-actions#onpushpull_requestpull_request_targetpathspaths-ignore
Reliability,Job timeout and retry,"timeout-minutes, job hang, retry step","A job with no timeout-minutes can hang indefinitely on a stuck test or network call, consuming a runner slot until the default 6-hour cap.","Set a realistic timeout-minutes per job so hung jobs fail fast instead of blocking the runner queue.","Leave jobs at the default multi-hour timeout for steps that should finish in minutes.","jobs:\n  build:\n    timeout-minutes: 15",LOW,https://docs.github.com/en/actions/using-jobs/setting-a-timeout-for-a-job
Security,OIDC federation instead of long-lived cloud credentials,"oidc, openid connect, cloud credentials, keyless auth","Storing long-lived AWS/Azure/GCP access keys as GitHub secrets creates a standing credential that doesn't expire and can be exfiltrated; OIDC federation issues short-lived tokens per run instead.","Configure OIDC trust between GitHub Actions and the cloud provider so workflows assume a role with short-lived tokens, no stored keys.","Store long-lived cloud access keys as repository secrets for deployment workflows.","permissions:\n  id-token: write\n- uses: aws-actions/configure-aws-credentials@v4\n  with: {role-to-assume: arn:aws:iam::123:role/gha-deploy}",HIGH,https://docs.github.com/en/actions/deployment/security-hardening-your-deployments/configuring-openid-connect-in-amazon-web-services
Testing,Required status checks before merge,"branch protection, required checks, merge gate","Merging to main with no required status checks means a broken build or failing test can land directly on the default branch.","Configure branch protection rules requiring specific workflow checks to pass before merge is allowed.","Allow merges to main with no required CI checks configured.","Settings > Branches > Branch protection rules > Require status checks",MEDIUM,https://docs.github.com/en/repositories/configuring-branches-and-merges-in-your-repository/managing-protected-branches/about-protected-branches
