Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Resource Management,Pod without resource limits,"resource limits, oom killed, cpu throttling","Pods without CPU/memory requests and limits can starve neighbors or get OOMKilled unpredictably under node pressure.","Set both requests and limits on every container; size requests from observed usage.","Leave requests/limits unset in production manifests.","resources:\n  requests: {cpu: 250m, memory: 256Mi}\n  limits: {memory: 512Mi}",HIGH,https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/
Reliability,Liveness vs readiness probes misconfigured,"liveness probe, readiness probe, crashloopbackoff","Confusing liveness and readiness probes causes needless restarts under load; a slow-starting app can be killed by an over-aggressive liveness probe before it's ready.","Use readiness probes to gate traffic and liveness probes only to detect true deadlocks, with generous initialDelaySeconds/failureThreshold.","Point liveness and readiness at the same endpoint with identical thresholds.","livenessProbe:\n  httpGet: {path: /healthz, port: 8080}\n  initialDelaySeconds: 30\n  failureThreshold: 3",HIGH,https://kubernetes.io/docs/concepts/configuration/liveness-readiness-startup-probes/
Networking,Service type and Ingress selection,"clusterip, nodeport, loadbalancer, ingress","Exposing every service as LoadBalancer wastes cloud load balancers and money; most services should be ClusterIP behind a single shared Ingress controller.","Default to ClusterIP + Ingress; reserve LoadBalancer for the ingress controller itself.","Provision a cloud LoadBalancer per microservice.","kind: Ingress\nspec:\n  rules:\n  - host: app.example.com\n    http: {paths: [{path: /, backend: {service: {name: app-svc, port: {number: 80}}}}]}",MEDIUM,https://kubernetes.io/docs/concepts/services-networking/ingress/
Configuration,ConfigMap vs Secret misuse,"configmap, secret, base64, sensitive data","Secrets are only base64-encoded, not encrypted at rest by default, but they're still the correct place for credentials, not ConfigMaps -- never store passwords or tokens in a ConfigMap.","Store credentials in Secrets and enable encryption at rest (EncryptionConfiguration); use ConfigMaps only for non-sensitive settings.","Put a database password in a ConfigMap because it's easier to edit.","kubectl create secret generic db-creds --from-literal=password=$DB_PASS",HIGH,https://kubernetes.io/docs/concepts/configuration/secret/
Scaling,Horizontal Pod Autoscaler tuning,"hpa, autoscaling, cpu target, scaling thrashing","HPA targets set too tight (e.g. 50% CPU with noisy workloads) cause scale up/down thrashing; without stabilization windows pods flap under bursty traffic.","Set realistic target utilization (typically 60-80%) and configure behavior.scaleDown.stabilizationWindowSeconds to prevent flapping.","Leave HPA on default behavior with a tight CPU target on a spiky workload.","behavior:\n  scaleDown: {stabilizationWindowSeconds: 300}",MEDIUM,https://kubernetes.io/docs/tasks/run-application/horizontal-pod-autoscale/
Reliability,PodDisruptionBudget missing,"pdb, voluntary eviction, node drain, availability","Without a PodDisruptionBudget, a node drain or cluster upgrade can evict all replicas of a deployment simultaneously, causing an outage during routine maintenance.","Define a PDB with minAvailable or maxUnavailable for every multi-replica deployment.","Rely on replica count alone to survive node drains.","apiVersion: policy/v1\nkind: PodDisruptionBudget\nspec: {minAvailable: 2, selector: {matchLabels: {app: web}}}",HIGH,https://kubernetes.io/docs/tasks/run-application/configure-pdb/
Security,NetworkPolicy default deny,"network policy, default deny, lateral movement, pod-to-pod","Without NetworkPolicies, every pod in a cluster can talk to every other pod by default, letting a single compromised pod move laterally across the whole namespace.","Apply a default-deny NetworkPolicy per namespace, then explicitly allow required ingress/egress paths.","Leave namespaces with no NetworkPolicy in a multi-tenant cluster.","kind: NetworkPolicy\nspec: {podSelector: {}, policyTypes: [Ingress, Egress]}",CRITICAL,https://kubernetes.io/docs/concepts/services-networking/network-policies/
Security,RBAC over-permissioned service accounts,"rbac, clusterrolebinding, service account, cluster-admin","Binding cluster-admin to a workload's ServiceAccount (common in quick demos) gives that pod full API server control if compromised.","Grant the minimum verbs/resources needed via a scoped Role/RoleBinding in the workload's own namespace.","Bind cluster-admin to a default ServiceAccount for convenience.","kubectl create rolebinding app-reader --role=pod-reader --serviceaccount=default:app-sa",CRITICAL,https://kubernetes.io/docs/reference/access-authn-authz/rbac/
Governance,Namespace ResourceQuota absent,"resourcequota, limitrange, noisy neighbor, multi-tenant","Without a ResourceQuota, one team's namespace can consume unbounded cluster CPU/memory/object count, starving every other tenant on shared infrastructure.","Set a ResourceQuota and a LimitRange per namespace in multi-tenant clusters.","Assume individual pod limits are enough to protect the cluster as a whole.","kind: ResourceQuota\nspec: {hard: {requests.cpu: '20', requests.memory: 40Gi, pods: '50'}}",MEDIUM,https://kubernetes.io/docs/concepts/policy/resource-quotas/
Deployment,Rolling update strategy tuning,"rollingupdate, maxsurge, maxunavailable, deployment strategy","Default rolling-update settings can still cause capacity dips or overly slow rollouts; maxUnavailable=0 with maxSurge tuned keeps full capacity during deploys at the cost of extra pods briefly.","Set maxUnavailable: 0 and a sane maxSurge for user-facing services that can't tolerate a capacity dip.","Accept default rollingUpdate values without checking they match the service's availability requirements.","strategy:\n  rollingUpdate: {maxUnavailable: 0, maxSurge: 1}",MEDIUM,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/#rolling-update-deployment
