Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Retrieval,Retriever and vectorstore selection,"retriever, vectorstore, embedding model, similarity search","Picking a vector store or retriever type without matching it to actual data scale and query pattern (exact vs approximate, metadata filtering needs) causes either poor recall or unnecessary infrastructure overhead.","Match vectorstore choice to data scale and filtering needs (e.g. pgvector for existing Postgres infra, a dedicated ANN store for very large corpora), and evaluate retrieval quality, not just latency.","Pick a vector store based on popularity alone without evaluating retrieval quality against representative queries.","retriever = vectorstore.as_retriever(search_kwargs={'k': 5, 'filter': {'source': 'docs'}})",MEDIUM,https://python.langchain.com/docs/concepts/retrievers/
Composition,Chain composition with LCEL,"lcel, langchain expression language, chain composition, pipe operator","Building complex logic as deeply nested Python function calls instead of LCEL's pipe composition loses built-in streaming, batching, and async support that LCEL chains get for free.","Compose chains with LCEL (the | operator) to get streaming/batch/async support automatically instead of hand-rolling orchestration.","Hand-roll sequential function calls for chain logic that LCEL composition would handle with built-in streaming and async support.","chain = prompt | model | output_parser",LOW,https://python.langchain.com/docs/concepts/lcel/
State Management,Memory management strategies,"conversation memory, buffer memory, summary memory, token limit","Using unbounded ConversationBufferMemory in a long-running chat session eventually exceeds the model's context window, causing errors or expensive truncation mid-conversation.","Choose a memory strategy (buffer window, summary, or vector-store-backed) that matches expected conversation length, not an unbounded buffer by default.","Use ConversationBufferMemory with no windowing or summarization for a chat application expected to run long sessions.","memory = ConversationSummaryBufferMemory(llm=model, max_token_limit=2000)",MEDIUM,https://python.langchain.com/docs/versions/migrating_memory/
Architecture,LangGraph state design,"langgraph, state graph, node design, graph state schema","A poorly-typed or overly-broad shared state object in LangGraph makes it hard to reason about what each node actually reads/writes, causing subtle bugs as the graph grows.","Define a precise, typed state schema for LangGraph and have each node touch only the state keys it actually needs.","Pass a loosely-typed dict as LangGraph state that every node can read and write arbitrary keys on.","class State(TypedDict):\n    messages: list\n    retrieved_docs: list",MEDIUM,https://langchain-ai.github.io/langgraph/concepts/low_level/
Reliability,Prompt template versioning,"prompt template, prompt versioning, prompt drift","Editing prompt templates directly in application code with no version tracking makes it impossible to correlate a quality regression with a specific prompt change, or roll back cleanly.","Version prompt templates (e.g. via LangSmith Hub, or plain git-tracked files) so changes are reviewable and revertible independent of code deploys.","Edit prompts inline in application code with no version history separate from the surrounding code changes.","prompt = hub.pull('my-org/my-prompt:v3')",LOW,https://docs.smith.langchain.com/prompt_engineering/how_to_guides/manage_prompts_programatically
Observability,LangSmith tracing for debugging,"langsmith, tracing, chain debugging, observability","Debugging a multi-step chain or agent failure by reading application logs alone loses the actual intermediate prompts, tool calls, and model outputs at each step needed to find root cause.","Enable LangSmith (or equivalent) tracing in non-trivial chains/agents so each step's inputs/outputs are inspectable after the fact.","Debug chain/agent failures with only high-level application logs and no step-by-step trace of prompts and outputs.","os.environ['LANGCHAIN_TRACING_V2'] = 'true'",MEDIUM,https://docs.smith.langchain.com/observability
Cost Control,Token cost from chained LLM calls,"token cost, chained calls, cost explosion, chain depth","Each additional step in a multi-call chain (retrieval, rewriting, grading, generation) multiplies token cost and latency; unexamined chain depth can make a simple query cost far more than it should.","Measure per-request token cost/latency across the full chain and cut steps that don't measurably improve output quality.","Add chain steps (query rewriting, self-critique, re-ranking) without measuring whether each one earns its added cost and latency.","# track cumulative tokens across all chain/agent steps per request, not just the final call",MEDIUM,https://python.langchain.com/docs/how_to/chat_token_usage_tracking/
Performance,Streaming responses to users,"streaming, astream, time to first token, perceived latency","Waiting for a full chain/agent response before showing anything to the user makes multi-second LLM latency feel far worse than it needs to; streaming shows progress immediately.","Use .stream()/.astream() (or LangGraph's streaming modes) to surface tokens/intermediate steps to the user as they're generated.","Block on the full chain response before displaying anything to the user for a multi-second generation.","for chunk in chain.stream(input):\n    print(chunk, end='')",LOW,https://python.langchain.com/docs/concepts/streaming/
Retrieval,Chunking strategy for document ingestion,"text splitter, chunk size, chunk overlap, rag chunking","A chunk size that's too large dilutes retrieval relevance with irrelevant surrounding text, while too small loses necessary context -- the default RecursiveCharacterTextSplitter settings rarely fit every corpus.","Tune chunk size/overlap to the actual document structure (e.g. respect section boundaries) and evaluate retrieval quality with representative queries, not default splitter settings alone.","Use default text splitter chunk size/overlap for every document type without evaluating retrieval quality.","splitter = RecursiveCharacterTextSplitter(chunk_size=800, chunk_overlap=100)",MEDIUM,https://python.langchain.com/docs/concepts/text_splitters/
Reliability,Output parsing and structured output,"output parser, structured output, json mode, parsing failure","Parsing free-form LLM text output with regex/string matching breaks unpredictably when the model phrases things slightly differently than expected.","Use structured output (tool calling / JSON mode / Pydantic output parsers) instead of regex-parsing free-form text for anything downstream code depends on.","Parse free-form model text output with regex for data that downstream code needs reliably structured.","model.with_structured_output(MyPydanticSchema)",MEDIUM,https://python.langchain.com/docs/concepts/structured_outputs/
Architecture,Tool-calling agent design in LangGraph,"react agent, tool calling, agent executor, langgraph agent","Using the older deprecated AgentExecutor abstraction instead of LangGraph's prebuilt/custom agent patterns loses fine-grained control over state, interrupts, and human-in-the-loop checkpoints.","Build new tool-calling agents on LangGraph (create_react_agent or a custom graph) rather than the legacy AgentExecutor.","Start a new agent project on the deprecated AgentExecutor abstraction in 2026.","from langgraph.prebuilt import create_react_agent",LOW,https://langchain-ai.github.io/langgraph/agents/agents/
Cost Control,LLM response caching,"llm cache, response caching, repeated prompt, cache backend","Re-sending an identical prompt to the LLM on every request (common in dev/test loops or repeated evaluation runs) pays full token cost and latency for a response that hasn't changed.","Enable a cache backend (in-memory for dev, Redis/SQLite for shared use) for deterministic, repeated prompts.","Hit the LLM API fresh for identical prompts repeated during development, testing, or evaluation runs.","from langchain.globals import set_llm_cache\nset_llm_cache(SQLiteCache(database_path='.langchain.db'))",LOW,https://python.langchain.com/docs/integrations/llm_caching/
