Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Structure,Nested stacks for reuse,"nested stack, cloudformation reuse, stack composition","A single monolithic template covering an entire environment becomes slow to update and hard to review; nested stacks split responsibility while sharing outputs via Fn::GetAtt.","Break large templates into nested stacks per logical component (network, compute, data) linked via AWS::CloudFormation::Stack.","Maintain one multi-thousand-line template for an entire environment.","MyVPCStack:\n  Type: AWS::CloudFormation::Stack\n  Properties:\n    TemplateURL: https://s3.../vpc.yaml",MEDIUM,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/using-cfn-nested-stacks.html
Workflow,Change sets before apply,"change set, cloudformation preview, update stack","Running UpdateStack directly applies changes immediately with no preview; a change set shows exactly what will be added, modified, or replaced before anything happens.","Always create and review a change set before executing a stack update on production.","Call UpdateStack directly against production without previewing a change set.","aws cloudformation create-change-set --stack-name prod --template-body file://template.yaml --change-set-name preview",HIGH,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/using-cfn-updating-stacks-changesets.html
Governance,Drift detection,"drift detection, manual console change, stack drift","Manual console edits to CloudFormation-managed resources silently drift from the template; the next update can unexpectedly revert or conflict with that manual change.","Run scheduled drift detection on production stacks and treat detected drift as an incident to reconcile, not ignore.","Allow manual console changes to CloudFormation-managed resources without ever running drift detection.","aws cloudformation detect-stack-drift --stack-name prod",MEDIUM,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/using-cfn-stack-drift.html
Security,Stack policies to protect critical resources,"stack policy, resource protection, update protection","Without a stack policy, an update targeting one resource can accidentally replace or delete an unrelated critical resource (like a production database) in the same stack.","Attach a stack policy that denies Update/Replace/Delete on critical resources (e.g. databases) unless explicitly overridden.","Leave production stacks with no stack policy protecting stateful resources.","{\n  ""Statement"": [{""Effect"": ""Deny"", ""Action"": ""Update:*"", ""Resource"": ""LogicalResourceId/ProdDB""}]\n}",HIGH,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/protect-stack-resources.html
Structure,Cross-stack references,"cross-stack reference, exports, fn::importvalue","Hardcoding one stack's resource IDs into another stack's parameters breaks the moment the source resource is recreated; Exports/Fn::ImportValue keeps them linked and validated.","Use Outputs + Export in the producing stack and Fn::ImportValue in the consuming stack for cross-stack references.","Copy-paste a VPC ID as a hardcoded parameter value into a dependent stack's template.","Outputs:\n  VpcId:\n    Value: !Ref VPC\n    Export:\n      Name: shared-vpc-id",MEDIUM,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/walkthrough-crossstackref.html
Reliability,Rollback triggers and monitoring,"rollback trigger, cloudwatch alarm, stack rollback","Without rollback triggers tied to CloudWatch alarms, a deployment that passes CloudFormation's own checks but breaks the app in production won't automatically roll back.","Configure RollbackConfiguration with CloudWatch alarms so a bad deploy auto-rolls-back on real application signals, not just resource-creation success.","Rely solely on CloudFormation's default success/failure signal with no application-level rollback trigger.","aws cloudformation update-stack --stack-name prod --rollback-configuration file://rollback.json",MEDIUM,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/using-cfn-monitor-rollback-triggers.html
Input Handling,Parameter validation and constraints,"parameter validation, allowedvalues, allowedpattern","Free-text CloudFormation parameters (e.g. environment name, instance type) with no AllowedValues/AllowedPattern let a typo create resources in the wrong shape silently.","Constrain parameters with AllowedValues, AllowedPattern, or Min/MaxLength wherever the valid input set is known.","Leave a critical parameter like Environment as an unconstrained free-text String.","Environment:\n  Type: String\n  AllowedValues: [dev, staging, prod]",LOW,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/parameters-section-structure.html
Extensibility,Custom resources,"custom resource, lambda-backed resource, cloudformation extension","Custom resources backed by a Lambda function that doesn't correctly signal SUCCESS/FAILED to the pre-signed S3 URL leave a stack stuck in *_IN_PROGRESS for the full timeout (often an hour).","Always send a response (success or failure) from custom resource Lambda handlers, ideally using the cfn-response helper or Custom Resource Provider Framework.","Write a custom resource Lambda that can throw without ever sending a CloudFormation response.","from crhelper import CfnResource\nhelper = CfnResource()",MEDIUM,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/template-custom-resources.html
Multi-account,StackSets for multi-account/region deploys,"stackset, multi-account, multi-region, stack instances","Manually deploying the same stack to dozens of accounts/regions via separate CLI calls doesn't scale and drifts as templates are updated in only some places.","Use StackSets with a delegated administrator account to deploy and update a template consistently across accounts/regions.","Script individual per-account CloudFormation deploys for the same template across an AWS Organization.","aws cloudformation create-stack-set --stack-set-name org-baseline --template-body file://baseline.yaml",MEDIUM,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/what-is-cfnstacksets.html
Operations,DeletionPolicy on stateful resources,"deletionpolicy, retain, snapshot, stack delete","Deleting a stack by default deletes every resource in it, including databases and S3 buckets, unless DeletionPolicy explicitly says otherwise.","Set DeletionPolicy: Retain (or Snapshot for RDS/EBS) on stateful resources so a stack deletion can't destroy data.","Leave the default Delete policy on production databases and data buckets.","MyDB:\n  Type: AWS::RDS::DBInstance\n  DeletionPolicy: Snapshot",CRITICAL,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/aws-attribute-deletionpolicy.html
