Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Idempotency,Idempotent task design,"idempotency, changed_when, task rerun","Tasks that shell out to raw commands (command/shell modules) without changed_when report 'changed' every run, breaking idempotency checks and making --check unreliable.","Prefer purpose-built modules over shell/command, and set changed_when/creates for unavoidable shell tasks.","Use shell: to run arbitrary commands with no changed_when guard.","- name: check disk\n  command: df -h\n  changed_when: false",MEDIUM,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_idempotency.html
Secrets,Ansible Vault for secrets,"ansible-vault, encrypted vars, secrets management","Committing plaintext passwords or API keys into group_vars is a common source of leaked secrets when a repo goes from private to public or an old commit is scraped.","Encrypt all secret-bearing variable files with ansible-vault and keep the vault password out of version control.","Store plaintext credentials in group_vars/all.yml committed to git.","ansible-vault encrypt group_vars/prod/vault.yml",CRITICAL,https://docs.ansible.com/ansible/latest/vault_guide/index.html
Inventory,Static vs dynamic inventory,"inventory, dynamic inventory, inventory plugin, static hosts","Static INI inventories drift from reality in cloud environments where instances come and go; a dynamic inventory plugin (aws_ec2, azure_rm) queries the actual current state.","Use a dynamic inventory plugin for cloud-hosted fleets so inventory always reflects live infrastructure.","Maintain a hand-edited static inventory file for an autoscaled cloud fleet.","plugin: amazon.aws.aws_ec2\nregions: [us-east-1]",MEDIUM,https://docs.ansible.com/ansible/latest/inventory_guide/intro_dynamic_inventory.html
Execution Model,Handlers vs regular tasks,"handler, notify, service restart, task ordering","Restarting a service unconditionally in every task run wastes time and can cause unnecessary downtime; handlers only fire when a notifying task actually reports 'changed'.","Use notify + handlers for actions (like service restarts) that should only happen when a preceding task changed something.","Put an unconditional service restart task after every config file edit.","handlers:\n  - name: restart nginx\n    service: {name: nginx, state: restarted}",LOW,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_handlers.html
Structure,Role reuse and Ansible Galaxy,"ansible role, galaxy, role structure, reusable playbook","Copy-pasting the same task blocks across multiple playbooks means a fix has to be applied in every copy; roles package reusable, testable units of automation.","Extract common functionality into roles with clear defaults/vars, and version them (Galaxy or a git tag) for reuse across playbooks.","Duplicate the same 40-line task block across five different playbooks.","ansible-galaxy install -r requirements.yml",LOW,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_reuse_roles.html
Safety,Check mode and diff before apply,"--check, --diff, dry run, ansible dry-run","Running a new or edited playbook directly against production without --check first risks an untested task making an unintended change at scale, across every host in the play simultaneously.","Run ansible-playbook --check --diff against a subset of hosts before a full production run.","Run a newly written playbook directly against the full production inventory.","ansible-playbook site.yml --check --diff --limit staging",HIGH,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_checkmode.html
Privilege,become and privilege escalation scope,"become, sudo, privilege escalation, become_user","Setting become: true at the play level when only one task actually needs root grants every task in that play elevated privileges unnecessarily.","Scope become to the specific tasks that need elevated privileges rather than the whole play.","Set become: true globally at the play level 'just in case'.","- name: install package\n  apt: {name: nginx, state: present}\n  become: true",MEDIUM,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_privilege_escalation.html
Execution Model,Tags for selective execution,"ansible tags, --tags, --skip-tags, selective run","Without tags, testing a single change in a large playbook means running the entire play end to end, slowing iteration and increasing blast radius of a test run.","Tag logical sections (config, packages, deploy) so specific parts of a playbook can be run or skipped independently.","Run the full playbook top to bottom to test a one-line config change.","ansible-playbook site.yml --tags config",LOW,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_tags.html
Templating,Jinja2 templating pitfalls,"jinja2, undefined variable, default filter, templating","Referencing an undefined variable inside a Jinja2 template fails the whole task with a cryptic error at runtime instead of failing fast with a clear message.","Use the default() filter or explicit variable validation (assert) for optional variables referenced in templates.","Reference optional variables in templates with no default filter and no upstream validation.","{{ app_port | default(8080) }}",LOW,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_templating.html
Idempotency,Fact caching for performance,"fact caching, gather_facts, setup module, performance","Re-gathering facts from every host on every playbook run adds significant wall-clock time to large inventories when facts rarely change between runs.","Enable fact caching (e.g. to Redis or JSON files) with a sensible TTL for large inventories run frequently.","Leave fact caching disabled on a 500-host inventory run every few minutes.","[defaults]\nfact_caching = jsonfile\nfact_caching_timeout = 3600",LOW,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_caching_facts.html
