Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Indexing,B-tree vs GIN index selection,"btree index, gin index, index type, jsonb index","Using the default B-tree index on a JSONB or full-text column gives no meaningful speedup for containment/text queries; GIN indexes are built for exactly that access pattern.","Use GIN indexes for JSONB containment (@>) and full-text search columns; keep B-tree for equality/range on scalar columns.","Create a B-tree index on a JSONB column and expect it to speed up @> containment queries.","CREATE INDEX idx_data_gin ON events USING GIN (payload jsonb_path_ops);",MEDIUM,https://www.postgresql.org/docs/current/indexes-types.html
Performance,Reading EXPLAIN ANALYZE output,"explain analyze, query plan, seq scan, index scan","A Seq Scan on a large table where an index exists is a strong signal the planner's cost estimates or table statistics are off, or the index just isn't usable for that predicate.","Run EXPLAIN (ANALYZE, BUFFERS) on slow queries and check for unexpected Seq Scans, high loops counts, and row estimate mismatches.","Tune query performance based on guesses instead of reading the actual query plan.","EXPLAIN (ANALYZE, BUFFERS) SELECT * FROM orders WHERE customer_id = 42;",MEDIUM,https://www.postgresql.org/docs/current/using-explain.html
Maintenance,Autovacuum tuning,"autovacuum, vacuum, bloat, dead tuples","Default autovacuum thresholds are tuned for small tables; on large, high-churn tables they run too infrequently, letting dead tuple bloat degrade query performance and risk transaction ID wraparound.","Tune autovacuum_vacuum_scale_factor/threshold per large high-churn table, and monitor n_dead_tup and last_autovacuum.","Leave default autovacuum settings unchanged on large, high-write tables and never check dead tuple counts.","ALTER TABLE orders SET (autovacuum_vacuum_scale_factor = 0.02);",HIGH,https://www.postgresql.org/docs/current/routine-vacuuming.html
Connection Management,Connection pooling with PgBouncer,"pgbouncer, connection pooling, max_connections, transaction pooling","Postgres connections are relatively expensive (each is a full backend process); an app that opens a new connection per request instead of pooling exhausts max_connections under moderate load.","Put PgBouncer (or a client-side pool) in front of Postgres in transaction pooling mode for high-connection-churn workloads.","Let every application instance open unpooled direct connections to Postgres at scale.","[databases]\nmydb = host=127.0.0.1 port=5432 pool_mode=transaction",HIGH,https://www.pgbouncer.org/config.html
Replication,Replication lag causes,"replication lag, streaming replication, wal, replica delay","Long-running queries or large transactions on the primary generate WAL faster than a replica (especially over a slow network link) can apply it, causing read replicas to serve increasingly stale data.","Monitor pg_stat_replication lag and replica apply rate; watch for large batch writes or vacuum operations on the primary as common lag triggers.","Assume read replicas are always current with no lag monitoring in place.","SELECT client_addr, replay_lag FROM pg_stat_replication;",MEDIUM,https://www.postgresql.org/docs/current/warm-standby.html#STREAMING-REPLICATION-MONITORING
Reliability,Statement and lock timeouts,"statement_timeout, lock_timeout, idle_in_transaction_session_timeout","With no statement_timeout, a single runaway query can hold locks and consume resources indefinitely, and an idle-in-transaction client can block vacuum and other queries for hours.","Set statement_timeout, lock_timeout, and idle_in_transaction_session_timeout at the role or database level as a safety net.","Run production workloads with no statement or idle-transaction timeout configured.","ALTER ROLE app_user SET statement_timeout = '30s';",HIGH,https://www.postgresql.org/docs/current/runtime-config-client.html#GUC-STATEMENT-TIMEOUT
Application Patterns,N+1 query patterns,"n+1 query, orm, batch query, eager loading","An ORM lazily fetching related rows one query per parent row (classic N+1) is invisible in local testing with small data but devastates latency at production scale.","Use eager loading / JOINs / batched IN queries for known access patterns instead of per-row lazy fetches.","Iterate over a result set and issue a separate query per row for related data.","SELECT * FROM orders WHERE customer_id = ANY($1::int[]);",MEDIUM,https://www.postgresql.org/docs/current/queries.html
Scalability,Partitioning large tables,"table partitioning, declarative partitioning, range partition","A single unpartitioned table growing past tens/hundreds of millions of rows makes vacuum, index maintenance, and even simple queries progressively slower with no way to prune old data cheaply.","Use declarative range or list partitioning (e.g. by month) for large, time-series-like tables, so old partitions can be dropped instantly.","Let a high-volume time-series table grow unpartitioned indefinitely.","CREATE TABLE events (ts timestamptz, ...) PARTITION BY RANGE (ts);",MEDIUM,https://www.postgresql.org/docs/current/ddl-partitioning.html
Indexing,Unused and duplicate index cleanup,"unused index, duplicate index, index bloat, write amplification","Every index adds write overhead on insert/update/delete; unused or duplicate indexes (found via pg_stat_user_indexes) slow writes for zero read benefit.","Periodically audit pg_stat_user_indexes for near-zero idx_scan counts and drop genuinely unused indexes.","Add indexes speculatively and never revisit whether they're actually used by the query planner.","SELECT indexrelname, idx_scan FROM pg_stat_user_indexes WHERE idx_scan < 10;",LOW,https://www.postgresql.org/docs/current/monitoring-stats.html#MONITORING-PG-STAT-USER-INDEXES-VIEW
Data Integrity,Foreign key and constraint validation,"foreign key, check constraint, not valid, data integrity","Adding a foreign key or check constraint on a large existing table with the default validation locks the table for the duration of the full-table scan.","Add the constraint NOT VALID first (fast), then VALIDATE CONSTRAINT separately (doesn't block writes) to avoid a long exclusive lock.","Add a constraint to a large production table with default full validation during business hours.","ALTER TABLE orders ADD CONSTRAINT fk_customer FOREIGN KEY (customer_id) REFERENCES customers(id) NOT VALID;\nALTER TABLE orders VALIDATE CONSTRAINT fk_customer;",MEDIUM,https://www.postgresql.org/docs/current/sql-altertable.html
Backup and Recovery,Point-in-time recovery setup,"pitr, wal archiving, base backup, continuous archiving","Relying on nightly pg_dump alone means any data loss between the last dump and the incident is unrecoverable; WAL archiving enables recovery to any point in time.","Configure continuous WAL archiving and periodic base backups (or use a managed service's PITR feature) for production databases.","Rely solely on periodic pg_dump snapshots with no WAL archiving for point-in-time recovery.","archive_mode = on\narchive_command = 'cp %p /archive/%f'",CRITICAL,https://www.postgresql.org/docs/current/continuous-archiving.html
Performance,Query performance with pg_stat_statements,"pg_stat_statements, slow query, query monitoring","Without pg_stat_statements enabled, there's no aggregate view of which queries actually consume the most total time in production -- only anecdotal slow-query reports.","Enable pg_stat_statements and periodically review top queries by total_exec_time, not just individual slow-query logs.","Diagnose database performance issues with no aggregate query statistics extension enabled.","CREATE EXTENSION pg_stat_statements;\nSELECT query, total_exec_time FROM pg_stat_statements ORDER BY total_exec_time DESC LIMIT 10;",MEDIUM,https://www.postgresql.org/docs/current/pgstatstatements.html
Concurrency,Isolation levels and serialization failures,"isolation level, serializable, mvcc, serialization failure","Using SERIALIZABLE isolation for correctness under concurrent writes means the application must be prepared to retry transactions that fail with a serialization error -- it's not a 'set and forget' setting.","Choose the isolation level deliberately per transaction's correctness needs, and implement retry logic for SERIALIZABLE serialization failures.","Set SERIALIZABLE isolation without implementing any retry logic for the resulting serialization failures.","BEGIN ISOLATION LEVEL SERIALIZABLE;\n-- retry on SQLSTATE 40001",MEDIUM,https://www.postgresql.org/docs/current/transaction-iso.html
