Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Cost Control,Cluster autoscaling and pools,"cluster autoscaling, instance pools, cold start, idle cluster","Fixed-size clusters left running idle between jobs burn compute cost, while cold-starting a new cluster per job adds minutes of startup latency to every run.","Use autoscaling clusters sized with min/max bounds, and instance pools to keep a warm buffer of ready VMs for frequently-started jobs.","Run a fixed-size always-on cluster sized for peak load when workload is bursty and infrequent.","databricks clusters create --autoscale min_workers=2,max_workers=8",MEDIUM,https://docs.databricks.com/en/compute/cluster-config-best-practices.html
Data Engineering,Delta Lake ACID and time travel,"delta lake, acid transactions, time travel, versioned table","Writing directly to Parquet without Delta Lake gives no transactional guarantees -- concurrent writers can corrupt a table, and there's no built-in way to query or roll back to a prior version.","Use Delta Lake tables for anything with concurrent writers or a need for historical versioning/rollback via time travel.","Write concurrently to raw Parquet files with no transaction log, risking partial/corrupted reads.","SELECT * FROM my_table VERSION AS OF 12;",MEDIUM,https://docs.databricks.com/en/delta/history.html
Orchestration,Notebook workflow orchestration,"databricks workflows, job orchestration, notebook dependencies","Manually running notebooks in sequence (or via ad-hoc external cron) has no dependency tracking, retry logic, or failure alerting built in.","Use Databricks Workflows (Jobs) to define notebook/task dependencies, retries, and alerting as a proper DAG.","Chain notebook execution manually or through an unrelated external scheduler with no native dependency tracking.","databricks jobs create --json @job-config.json",LOW,https://docs.databricks.com/en/workflows/index.html
Governance,Unity Catalog for data governance,"unity catalog, data governance, table acl, lineage","Without Unity Catalog, table-level access control and column lineage are inconsistent across workspaces, making audits and least-privilege enforcement hard at scale.","Adopt Unity Catalog for centralized access control, auditing, and lineage tracking across all workspaces.","Manage table permissions ad hoc per-workspace with legacy Hive metastore and no central governance layer.","GRANT SELECT ON TABLE catalog.schema.table TO `analyst_group`;",HIGH,https://docs.databricks.com/en/data-governance/unity-catalog/index.html
Cost Control,Job cluster vs all-purpose cluster,"job cluster, all-purpose cluster, interactive cluster, cost","Running scheduled production jobs on an all-purpose (interactive) cluster costs significantly more per DBU than a job cluster, which is billed at a lower rate and is ephemeral by design.","Run scheduled/production jobs on job clusters (created and torn down per run); reserve all-purpose clusters for interactive development.","Schedule production ETL jobs against a shared, always-on all-purpose interactive cluster.","{'new_cluster': {'num_workers': 4}, 'notebook_task': {'notebook_path': '/etl/daily'}}",MEDIUM,https://docs.databricks.com/en/compute/index.html
Performance,Spark shuffle partition tuning,"shuffle partitions, spark.sql.shuffle.partitions, data skew","The Spark default of 200 shuffle partitions is rarely right for both very small and very large datasets, causing either excessive task overhead or too-few partitions to parallelize effectively.","Tune spark.sql.shuffle.partitions (or use Adaptive Query Execution) based on actual data volume rather than leaving the 200 default unexamined.","Leave shuffle partition count at the default 200 for both tiny and multi-terabyte datasets.","spark.conf.set('spark.sql.shuffle.partitions', 400)",MEDIUM,https://spark.apache.org/docs/latest/sql-performance-tuning.html
Storage,DBFS vs Unity Catalog volumes,"dbfs, unity catalog volumes, file storage, deprecated storage","DBFS root storage mixes data across workspaces with no fine-grained governance and is being phased out in favor of Unity Catalog Volumes for managing non-tabular files.","Use Unity Catalog Volumes for new file storage needs instead of writing to the DBFS root.","Write new pipeline outputs directly to the DBFS root without a governance layer.","COPY INTO catalog.schema.table FROM '/Volumes/catalog/schema/volume/file.csv';",MEDIUM,https://docs.databricks.com/en/connect/unity-catalog/volumes.html
Data Engineering,Delta Lake OPTIMIZE and Z-ordering,"optimize, z-order, small file problem, compaction","Streaming or frequent-write pipelines create many small files over time (the 'small file problem'), degrading read performance until compaction is run.","Run OPTIMIZE (with ZORDER BY on commonly-filtered columns) periodically on frequently-written Delta tables.","Let a high-write-frequency Delta table accumulate small files indefinitely with no OPTIMIZE schedule.","OPTIMIZE events ZORDER BY (event_date);",MEDIUM,https://docs.databricks.com/en/delta/optimize.html
Cost Control,Photon and runtime version selection,"photon engine, databricks runtime, ml runtime, vectorized engine","Running on an older Databricks Runtime without Photon enabled leaves significant query performance (and therefore cost-per-query) on the table for SQL/DataFrame-heavy workloads.","Enable Photon and keep clusters on a current LTS Databricks Runtime for SQL and DataFrame-heavy workloads.","Run production SQL-heavy workloads on an old runtime with Photon disabled by default.","{'spark_version': '15.4.x-photon-scala2.12'}",LOW,https://docs.databricks.com/en/compute/photon.html
Governance,Secrets management with Databricks Secrets,"databricks secrets, secret scope, credential storage","Hardcoding database passwords or API keys directly in notebook cells exposes them in notebook history, version control, and to anyone with notebook read access.","Store credentials in a Databricks secret scope (backed by Azure Key Vault or Databricks-managed) and reference them via dbutils.secrets.get.","Hardcode API keys or passwords as plaintext strings in notebook cells.","dbutils.secrets.get(scope='my-scope', key='api-key')",CRITICAL,https://docs.databricks.com/en/security/secrets/index.html
