Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Capacity Planning,Partition count planning,"partition count, topic partitions, parallelism, rebalance cost","Under-partitioning a topic caps consumer parallelism (partitions are the unit of parallel consumption), while over-partitioning inflates rebalance time and per-partition overhead across brokers.","Size partition count based on target throughput divided by per-partition throughput, leaving headroom for consumer scale-out, not an arbitrary round number.","Pick partition count arbitrarily (e.g. always 3) with no relation to expected throughput or consumer parallelism.","kafka-topics.sh --create --topic orders --partitions 12 --replication-factor 3",MEDIUM,https://kafka.apache.org/documentation/#intro_topics
Consumer Groups,Consumer group rebalancing storms,"rebalance storm, cooperative rebalancing, session.timeout.ms","Frequent consumer restarts or pod churn (common in Kubernetes with aggressive HPA) trigger repeated stop-the-world rebalances under the eager protocol, stalling the whole group during each one.","Use the cooperative-sticky partition assignor and tune session.timeout.ms/max.poll.interval.ms to reduce unnecessary rebalances from transient pod churn.","Use the default eager rebalance protocol on a consumer group with frequent pod restarts/autoscaling.","partition.assignment.strategy=org.apache.kafka.clients.consumer.CooperativeStickyAssignor",HIGH,https://kafka.apache.org/documentation/#consumer_rebalance_protocol
Durability,Replication factor and min.insync.replicas,"replication factor, min.insync.replicas, acks, durability","A replication factor of 1 (or min.insync.replicas=1 with acks=all) means a single broker failure can lose committed data; production topics need both a real replication factor and matched ISR requirements.","Set replication.factor >= 3 and min.insync.replicas=2 for production topics that can't tolerate data loss.","Run production topics with replication.factor=1 or min.insync.replicas=1.","kafka-topics.sh --alter --topic orders --config min.insync.replicas=2",CRITICAL,https://kafka.apache.org/documentation/#topicconfigs_min.insync.replicas
Retention,Retention policy design,"retention.ms, retention.bytes, log compaction, cleanup.policy","Leaving retention at the cluster default (often 7 days, delete policy) on a topic meant as a durable changelog silently loses old keys' state; compacted topics need cleanup.policy=compact instead.","Set retention.ms/retention.bytes deliberately per topic's actual use case, and use cleanup.policy=compact for changelog-style topics.","Leave every topic on the cluster-wide default retention regardless of its actual data lifecycle needs.","cleanup.policy=compact\nmin.cleanable.dirty.ratio=0.5",MEDIUM,https://kafka.apache.org/documentation/#topicconfigs_cleanup.policy
Producer,Producer acks configuration,"acks, producer durability, fire and forget","acks=0 (fire-and-forget) or acks=1 (leader-only ack) can silently lose messages on broker failure right after the ack is sent; acks=all is required for durability guarantees.","Use acks=all with min.insync.replicas for any producer where message loss is unacceptable.","Use acks=0 or acks=1 for producers writing business-critical events.","props.put(""acks"", ""all"");",HIGH,https://kafka.apache.org/documentation/#producerconfigs_acks
Producer,Idempotent producers,"idempotent producer, enable.idempotence, duplicate messages","Without idempotence enabled, a producer retry after a transient network error can write the same message twice, and downstream consumers see duplicates unless they dedupe themselves.","Enable enable.idempotence=true (default in modern clients) so retries don't create duplicate messages at the broker level.","Disable idempotence on a producer that retries on failure, relying entirely on downstream dedup logic.","props.put(""enable.idempotence"", ""true"");",MEDIUM,https://kafka.apache.org/documentation/#producerconfigs_enable.idempotence
Observability,Consumer lag monitoring,"consumer lag, offset lag, kafka lag exporter","Without consumer lag monitoring, a consumer that's silently falling behind (or stuck) looks identical to a healthy one until downstream data staleness becomes a customer-visible incident.","Monitor consumer group lag per partition (via Burrow, kafka-lag-exporter, or kafka-consumer-groups.sh) with alerting on sustained growth.","Run consumer groups in production with no lag monitoring or alerting configured.","kafka-consumer-groups.sh --bootstrap-server broker:9092 --describe --group my-group",HIGH,https://kafka.apache.org/documentation/#basic_ops_consumer_lag
Governance,Topic naming conventions,"topic naming, namespace, schema evolution","Ad-hoc topic names with no convention (env, domain, entity, version) make it impossible to apply consistent ACLs, retention policies, or ownership at scale once a cluster has hundreds of topics.","Adopt a consistent naming convention (e.g. env.domain.entity.version) so ACLs, retention, and ownership tooling can pattern-match topics.","Let teams name topics arbitrarily with no shared convention as the cluster grows.","prod.orders.order-created.v1",LOW,https://developer.confluent.io/learn-kafka/apache-kafka/apis/#topic-naming
Architecture,KRaft vs ZooKeeper,"kraft, zookeeper, controller quorum, metadata mode","ZooKeeper-based clusters are on a deprecation path and carry an extra distributed system to operate; new clusters should run KRaft mode with a dedicated controller quorum instead.","Deploy new Kafka clusters in KRaft mode; plan a migration off ZooKeeper for existing clusters before it's removed.","Stand up a brand-new production Kafka cluster on ZooKeeper mode in 2026.","process.roles=broker,controller\ncontroller.quorum.voters=1@broker1:9093,2@broker2:9093,3@broker3:9093",MEDIUM,https://kafka.apache.org/documentation/#kraft
Consumer Groups,Static group membership for stable assignment,"group.instance.id, static membership, rolling restart rebalance","Without static membership, every rolling restart of a consumer deployment triggers a full rebalance because each pod rejoins as a 'new' consumer instance.","Set group.instance.id per consumer instance so rolling restarts are treated as temporary absences, not membership changes, avoiding unnecessary rebalances.","Roll consumer deployments with no group.instance.id set, triggering a full rebalance on every deploy.","props.put(""group.instance.id"", ""consumer-"" + podName);",MEDIUM,https://kafka.apache.org/documentation/#consumerconfigs_group.instance.id
