Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Service Management,systemd unit file design,"systemd unit, service file, restart policy, wantedby","A systemd service with no Restart= directive stays dead after a crash until someone notices, and missing After=/Requires= ordering can start a service before its dependency (like a database) is ready.","Set Restart=on-failure (or always) with a sane RestartSec, and declare correct After=/Requires= ordering against dependencies.","Write a systemd unit with no restart policy and no explicit ordering against required dependent services.","[Service]\nRestart=on-failure\nRestartSec=5\nAfter=network-online.target",MEDIUM,https://www.freedesktop.org/software/systemd/man/latest/systemd.service.html
Diagnostics,journalctl log filtering,"journalctl, systemd logs, log filtering, boot logs","Scrolling through the entire journal with no filters to find one service's errors around a specific incident time wastes time journalctl's built-in filters solve directly.","Filter journalctl by unit, priority, and time range (-u, -p, --since/--until) instead of scrolling unfiltered output.","Run journalctl with no filters and manually scroll/grep through the entire system journal.","journalctl -u myapp.service -p err --since '1 hour ago'",LOW,https://www.freedesktop.org/software/systemd/man/latest/journalctl.html
Networking,iptables/nftables rule management,"iptables, nftables, firewall rules, default policy","Adding firewall rules ad hoc without a default-deny policy and without persisting rules across reboot leaves a host either overly permissive or silently unprotected after the next restart.","Set a default-deny INPUT policy, explicitly allow required traffic, and persist rules (iptables-persistent or nftables config) across reboots.","Add firewall allow rules with no default-deny baseline, or forget to persist rules so they vanish on reboot.","nft add rule inet filter input tcp dport 22 accept",HIGH,https://wiki.nftables.org/wiki-nftables/index.php/Main_Page
Scheduling,Cron scheduling pitfalls,"cron, crontab, cron environment, cron failure notification","Cron jobs run with a minimal environment (no login shell PATH, no user profile) and failures are silent by default, so a script that works interactively can fail mysteriously under cron with nobody noticing.","Use absolute paths, set PATH explicitly in crontab, redirect output to a log, and alert on non-zero exit codes.","Assume a script that works when run interactively will behave identically under cron's minimal environment.","*/5 * * * * PATH=/usr/local/bin:/usr/bin:/bin /opt/scripts/job.sh >> /var/log/job.log 2>&1 || curl -X POST $ALERT_URL",MEDIUM,https://man7.org/linux/man-pages/man5/crontab.5.html
Security,Filesystem permissions: SUID and sticky bit,"suid, sgid, sticky bit, file permissions, privilege escalation","An unnecessary SUID binary is a direct privilege-escalation vector if it has any exploitable bug; the sticky bit on shared directories (like /tmp) prevents users from deleting each other's files.","Audit for unnecessary SUID/SGID binaries regularly, and set the sticky bit on any world-writable shared directory.","Leave unnecessary SUID binaries in place, or create a world-writable directory with no sticky bit set.","find / -perm -4000 -type f 2>/dev/null\nchmod +t /shared/tmp",HIGH,https://www.gnu.org/software/coreutils/manual/html_node/Special-file-types.html
Security,SSH hardening,"ssh hardening, password auth, root login, sshd_config","Allowing password authentication and direct root login over SSH leaves a server exposed to credential-stuffing and brute-force attacks that key-based auth with root login disabled defeats entirely.","Disable PasswordAuthentication and PermitRootLogin in sshd_config, using key-based auth and a non-root sudo user instead.","Leave PasswordAuthentication yes and PermitRootLogin yes on an internet-facing SSH server.","PasswordAuthentication no\nPermitRootLogin no",CRITICAL,https://man.openbsd.org/sshd_config
Diagnostics,Disk space troubleshooting: inodes vs blocks,"inode exhaustion, disk full, df -i, no space left on device","'No space left on device' can happen with plenty of free disk blocks if inodes are exhausted (common with huge numbers of tiny files); df alone won't show this, you need df -i.","Check both df -h (block usage) and df -i (inode usage) when diagnosing 'disk full' errors, since either can be the actual cause.","Diagnose 'no space left on device' errors using only df -h without checking inode usage via df -i.","df -i /var",MEDIUM,https://man7.org/linux/man-pages/man1/df.1.html
Resource Management,Process and resource limits with ulimit,"ulimit, nofile, resource limits, too many open files","A process hitting the default per-user open file descriptor limit (often 1024) under load fails with 'too many open files' even though the system has plenty of actual capacity.","Set appropriate ulimit values (nofile, nproc) via systemd LimitNOFILE= or /etc/security/limits.conf for services expected to handle high concurrency.","Leave high-concurrency services on default ulimit values and discover the 'too many open files' failure only under production load.","[Service]\nLimitNOFILE=65536",MEDIUM,https://man7.org/linux/man-pages/man2/getrlimit.2.html
Networking,Systemd-managed network troubleshooting,"ss, netstat, listening ports, connection state","Not knowing which process is actually bound to a port (or its connection state) turns a simple 'is the service listening' question into guesswork during an incident.","Use ss -tlnp (or netstat as a fallback) to check listening ports and owning processes directly instead of guessing from application logs alone.","Debug 'connection refused' issues by only checking application logs without verifying the process is actually listening on the expected port.","ss -tlnp | grep :8080",LOW,https://man7.org/linux/man-pages/man8/ss.8.html
Storage,Filesystem mount options and fstab,"fstab, mount options, noatime, filesystem reliability","Missing or incorrect fstab entries mean a manually-mounted volume won't remount automatically after reboot, silently breaking a service that expects that mount to exist.","Persist mount configuration in /etc/fstab (with appropriate options like noatime for performance-sensitive volumes) rather than mounting manually per session.","Mount a required volume manually with the mount command and never add the corresponding fstab entry.","/dev/sdb1 /data ext4 defaults,noatime 0 2",MEDIUM,https://man7.org/linux/man-pages/man5/fstab.5.html
