Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Configuration,Externalized config with profiles,"application.yml, spring profiles, externalized config","Hardcoding environment-specific values in application.yml instead of using Spring profiles means the same JAR can't be safely promoted across dev/staging/prod without editing config in the artifact.","Use spring.profiles.active with per-environment application-{profile}.yml files, and inject secrets via environment variables, not the profile files.","Bake environment-specific database URLs directly into a single application.yml shipped in the JAR.","spring:\n  config:\n    activate:\n      on-profile: prod",MEDIUM,https://docs.spring.io/spring-boot/reference/features/external-config.html
Security,Actuator endpoint exposure,"actuator, management endpoint, /actuator/env, security","Exposing Actuator endpoints like /actuator/env or /actuator/heapdump on the public internet with no auth leaks environment variables, secrets, and internal application state.","Restrict Actuator to a management port, require authentication, and only expose the specific endpoints actually needed (typically health, info).","Expose all Actuator endpoints on the public port with no authentication.","management:\n  endpoints:\n    web:\n      exposure:\n        include: health,info",CRITICAL,https://docs.spring.io/spring-boot/reference/actuator/monitoring.html
Dependency Injection,Bean scope pitfalls,"bean scope, singleton, prototype, stateful bean","Injecting request-scoped or mutable state into a default singleton-scoped bean causes that state to leak and get shared across unrelated requests/threads.","Keep singleton beans stateless, or explicitly scope beans that hold per-request state as request/prototype with proxyMode configured.","Store per-request mutable state as an instance field on a default singleton @Service bean.","@Scope(value = WebApplicationContext.SCOPE_REQUEST, proxyMode = ScopedProxyMode.TARGET_CLASS)",HIGH,https://docs.spring.io/spring-framework/reference/core/beans/factory-scopes.html
Security,Spring Security configuration,"spring security, csrf, filter chain, authorization","Disabling CSRF protection globally 'to make the API work' removes a real defense for any state-changing endpoint that's still session/cookie-authenticated.","Configure the security filter chain explicitly per endpoint group, and only disable CSRF for genuinely stateless token-authenticated APIs.","Globally disable CSRF protection to fix a failing form submission without understanding why it failed.","http.csrf(csrf -> csrf.ignoringRequestMatchers(""/api/**""))",HIGH,https://docs.spring.io/spring-security/reference/servlet/exploits/csrf.html
Database,HikariCP connection pool tuning,"hikaricp, connection pool, maximumpoolsize, connection timeout","Spring Boot's default HikariCP pool size (10) is often wrong in either direction; too large exhausts DB connections across replicas, too small causes request queuing under load.","Tune maximumPoolSize based on DB max_connections divided by expected replica count, and set connectionTimeout to fail fast instead of hanging.","Leave HikariCP at default pool size without validating it against actual DB connection limits and replica count.","spring:\n  datasource:\n    hikari:\n      maximum-pool-size: 10\n      connection-timeout: 3000",HIGH,https://docs.spring.io/spring-boot/reference/data/sql.html#data.sql.datasource.connection-pool
Reliability,Graceful shutdown,"graceful shutdown, sigterm, in-flight requests, spring lifecycle","Without graceful shutdown enabled, Spring Boot's embedded server stops accepting connections immediately on SIGTERM, dropping in-flight requests during rolling deploys.","Enable server.shutdown=graceful with a matched lifecycle timeout so in-flight requests finish before the process exits.","Deploy with default (immediate) shutdown behavior on a service behind a load balancer doing rolling deploys.","server:\n  shutdown: graceful\nspring:\n  lifecycle:\n    timeout-per-shutdown-phase: 30s",MEDIUM,https://docs.spring.io/spring-boot/reference/web/graceful-shutdown.html
Error Handling,Centralized exception handling,"@controlleradvice, @exceptionhandler, error response","Letting unhandled exceptions bubble up to Spring Boot's default error page/JSON leaks stack traces and internal class names to API clients.","Use @ControllerAdvice + @ExceptionHandler to return consistent, sanitized error responses without leaking internals.","Let default Spring Boot error handling return raw stack traces to API clients in production.","@ControllerAdvice\nclass ApiExceptionHandler {\n  @ExceptionHandler(NotFoundException.class)\n  ResponseEntity<?> handleNotFound(NotFoundException e) { ... }\n}",MEDIUM,https://docs.spring.io/spring-framework/reference/web/webmvc/mvc-controller/ann-exceptionhandler.html
Resilience,Circuit breakers for downstream calls,"circuit breaker, resilience4j, downstream failure, cascading failure","Calling a downstream service with no circuit breaker means a slow or failing dependency can exhaust the calling service's threads/connections, cascading the outage upstream.","Wrap downstream calls (especially over HTTP) with a circuit breaker (Resilience4j) plus a sane timeout and fallback.","Call downstream services directly with no timeout, retry, or circuit breaker configured.","@CircuitBreaker(name = ""paymentService"", fallbackMethod = ""fallback"")\npublic Payment charge(...) { ... }",HIGH,https://resilience4j.readme.io/docs/circuitbreaker
Configuration,Configuration property validation,"@configurationproperties, @validated, fail-fast config","An invalid or missing required config value discovered only when the code path using it runs (often in production, under load) is far worse than failing at startup.","Bind config with @ConfigurationProperties and @Validated so the application refuses to start on invalid configuration.","Read config values ad-hoc with @Value and no validation, discovering problems only when that code path executes.","@ConfigurationProperties(prefix = ""app"")\n@Validated\nrecord AppProps(@NotBlank String apiKey) {}",MEDIUM,https://docs.spring.io/spring-boot/reference/features/external-config.html#features.external-config.typesafe-configuration-properties
Observability,Actuator health indicators for dependencies,"health indicator, readiness probe, dependency health","A generic /actuator/health that only checks 'is the JVM up' tells Kubernetes the pod is ready even when its database or message broker connection is actually down.","Implement custom HealthIndicators for critical dependencies (DB, message broker) so readiness reflects real dependency health.","Rely on the default health endpoint with no custom indicators for critical external dependencies.","@Component\nclass DbHealthIndicator implements HealthIndicator { ... }",MEDIUM,https://docs.spring.io/spring-boot/reference/actuator/endpoints.html#actuator.endpoints.health
