Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Containers,AKS cluster autoscaler and node pools,"aks, cluster autoscaler, node pool, system pool","Running application workloads on the AKS system node pool starves core cluster services (CoreDNS, metrics-server) of resources during load spikes.","Separate system and user node pools, and enable the cluster autoscaler on user pools sized per workload.","Schedule application pods onto the default system node pool.","az aks nodepool add --cluster-name myAKS --resource-group rg --name userpool --mode User --enable-cluster-autoscaler --min-count 2 --max-count 10",MEDIUM,https://learn.microsoft.com/en-us/azure/aks/use-system-pools
Serverless,Azure Functions cold start and plan choice,"azure functions, consumption plan, premium plan, cold start","The Consumption plan scales to zero, which means unpredictable cold-start latency; latency-sensitive functions need the Premium plan's pre-warmed instances instead.","Use the Premium plan (or dedicated App Service plan) for latency-sensitive Functions; reserve Consumption for bursty/background workloads.","Put a synchronous, latency-sensitive API on the Consumption plan and expect consistent response times.","az functionapp plan create --name premium-plan --resource-group rg --sku EP1",MEDIUM,https://learn.microsoft.com/en-us/azure/azure-functions/functions-premium-plan
Infrastructure as Code,ARM vs Bicep authoring,"arm template, bicep, iac, azure resource manager","Hand-written raw ARM JSON is verbose and error-prone compared to Bicep, which compiles down to the same ARM templates with far better readability and type checking.","Author new infrastructure in Bicep and transpile to ARM at deploy time rather than hand-writing ARM JSON.","Maintain new large ARM JSON templates by hand in 2026.","az bicep build --file main.bicep",LOW,https://learn.microsoft.com/en-us/azure/azure-resource-manager/bicep/overview
CI/CD,Azure DevOps pipeline service connections,"azure devops, service connection, pipeline permissions, yaml pipeline","Service connections scoped to subscription-level Owner/Contributor let any pipeline that uses them touch every resource in the subscription, not just its own resource group.","Scope service connections to the specific resource group a pipeline needs, using least-privilege custom roles where possible.","Grant a shared service connection Owner rights at the subscription level for all pipelines.","az role assignment create --assignee <sp-id> --role Contributor --scope /subscriptions/<sub>/resourceGroups/<rg>",HIGH,https://learn.microsoft.com/en-us/azure/devops/pipelines/library/service-endpoints
Identity,Entra ID RBAC vs Owner role sprawl,"entra id, azure ad, rbac, owner role","Assigning the built-in Owner role because it 'just works' is the Azure equivalent of AWS AdministratorAccess sprawl -- it grants role assignment rights too, letting a compromised identity self-escalate.","Use built-in or custom roles scoped to required actions (e.g. Contributor without role-assignment rights) instead of Owner by default.","Assign Owner to service principals and users as a default starting point.","az role assignment create --assignee <id> --role Contributor --scope /subscriptions/<sub>",CRITICAL,https://learn.microsoft.com/en-us/azure/role-based-access-control/best-practices
Storage,Blob Storage lifecycle management,"blob storage, lifecycle policy, cool tier, archive tier","Leaving all blobs in the Hot access tier forever, including logs and backups nobody reads after 30 days, is one of the most common sources of avoidable Azure storage cost.","Configure lifecycle management policies to auto-tier blobs to Cool/Archive and expire old versions.","Leave lifecycle management unconfigured on storage accounts holding logs or backups.","az storage account management-policy create --account-name mystorage --policy @policy.json",MEDIUM,https://learn.microsoft.com/en-us/azure/storage/blobs/lifecycle-management-overview
Security,Key Vault access policies vs RBAC,"key vault, access policy, rbac, secrets","Key Vault's legacy access-policy model grants all-or-nothing permissions per vault; the RBAC permission model allows fine-grained, auditable per-secret/per-key roles instead.","Use Key Vault's Azure RBAC permission model with scoped role assignments instead of broad vault access policies.","Grant full get/list/set/delete access-policy permissions to every service that needs one secret.","az keyvault update --name myvault --enable-rbac-authorization true",HIGH,https://learn.microsoft.com/en-us/azure/key-vault/general/rbac-guide
Governance,Resource groups and tagging strategy,"resource group, tags, cost allocation, governance","Untagged resources scattered across ad-hoc resource groups make cost allocation and cleanup nearly impossible once an environment grows past a handful of services.","Enforce mandatory tags (owner, environment, cost-center) via Azure Policy, and group resources by lifecycle, not by type.","Create resources without required tags and rely on memory to track ownership.","az policy assignment create --name require-tags --policy <policy-definition-id>",MEDIUM,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/tag-resources
Networking,NSG rule ordering and VNet peering,"nsg, network security group, vnet peering, rule priority","NSG rules are evaluated in priority order and stop at first match; a broad low-priority allow rule placed above a specific deny will silently override it.","Order NSG rules from most-specific/restrictive to least, and use Azure Network Watcher to verify effective rules.","Add new NSG rules without checking their priority against existing broad rules.","az network nsg rule create --nsg-name myNSG --name deny-ssh --priority 100 --access Deny --destination-port-ranges 22",HIGH,https://learn.microsoft.com/en-us/azure/virtual-network/network-security-group-how-it-works
Cost,Azure Cost Management budgets and alerts,"cost management, budget alert, azure advisor, cost anomaly","Without a configured budget and alert, a runaway resource (e.g. an oversized VM left running, a misconfigured autoscale) can burn through a month's cloud budget before anyone notices.","Set Cost Management budgets with action-group alerts at 50/80/100% thresholds per subscription.","Rely on manually checking the cost dashboard instead of configured budget alerts.","az consumption budget create --budget-name monthly-budget --amount 5000 --time-grain Monthly",MEDIUM,https://learn.microsoft.com/en-us/azure/cost-management-billing/costs/tutorial-acm-create-budgets
