Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Consensus,DCS quorum requirements,"etcd, consul, dcs, quorum, split-brain","Patroni relies entirely on the DCS (etcd/Consul/ZooKeeper) for leader election; running an even-numbered or under-sized DCS cluster (e.g. 2 nodes) can't tolerate a single node failure without losing quorum.","Run an odd-numbered DCS cluster (3 or 5 nodes) sized to tolerate the expected failure domain, separate from the Postgres nodes' failure domain where possible.","Run etcd as a single node or an even-numbered cluster backing a production Patroni setup.","etcdctl endpoint status --cluster",CRITICAL,https://patroni.readthedocs.io/en/latest/dcs_failsafe_mode.html
Failover,Leader election timing,"ttl, loop_wait, retry_timeout, failover time","TTL/loop_wait/retry_timeout values copied from a tutorial without tuning to your network's actual latency cause either too-slow failover (long outage) or too-aggressive failover (flapping on transient blips).","Tune ttl, loop_wait, and retry_timeout based on observed DCS round-trip latency, balancing failover speed against false-positive failovers.","Leave Patroni's default timing values unexamined regardless of actual network/DCS latency characteristics.","ttl: 30\nloop_wait: 10\nretry_timeout: 10",HIGH,https://patroni.readthedocs.io/en/latest/SETTINGS.html
Operations,Failover vs switchover,"patronictl failover, patronictl switchover, planned maintenance","Using 'failover' for planned maintenance treats it like an emergency (no coordination with the current leader), risking a lost transaction; 'switchover' coordinates a clean handoff instead.","Use patronictl switchover for planned leader changes and reserve failover for genuine unplanned leader loss.","Run patronictl failover for routine planned maintenance instead of switchover.","patronictl switchover --master node1 --candidate node2 mycluster",MEDIUM,https://patroni.readthedocs.io/en/latest/rest_api.html#switchover-and-failover
Reliability,Split-brain prevention,"split-brain, fencing, watchdog, demote","Without a configured watchdog device or fencing mechanism, a network-partitioned old leader that can't reach the DCS may keep accepting writes as if it were still primary, causing data divergence.","Configure a watchdog (Linux softdog or hardware) so Patroni can self-fence a partitioned node that fails to demote in time.","Run Patroni with no watchdog configured in an environment where network partitions are plausible.","watchdog:\n  mode: required\n  device: /dev/watchdog",CRITICAL,https://patroni.readthedocs.io/en/latest/watchdog.html
Operations,patronictl operational commands,"patronictl, cluster status, restart, reinit","Restarting a Postgres node directly with systemctl/pg_ctl instead of through patronictl bypasses Patroni's coordination, risking a confusing state where Patroni's view of the cluster diverges from reality.","Use patronictl restart/reinit/list for all cluster operations so Patroni's state machine stays consistent with actual node status.","Restart the postgres process directly with systemctl instead of going through patronictl.","patronictl list mycluster\npatronictl restart mycluster node1",MEDIUM,https://patroni.readthedocs.io/en/latest/patronictl.html
Replication,Synchronous replication mode trade-offs,"synchronous_mode, synchronous_standby_names, durability vs availability","Enabling synchronous_mode improves durability (no acknowledged write is lost on failover) but means the cluster can't accept writes at all if the synchronous standby is unavailable -- a direct availability/durability trade-off.","Enable synchronous_mode only when zero data loss is a hard requirement, and understand it can block writes during standby outages.","Enable synchronous replication without evaluating its availability impact when the sync standby goes down.","synchronous_mode: true\nsynchronous_node_count: 1",HIGH,https://patroni.readthedocs.io/en/latest/replication_modes.html
Observability,REST API health checks,"patroni rest api, /health, haproxy health check, liveness","Pointing a load balancer's health check at the Postgres port directly (instead of Patroni's REST API) can't distinguish a healthy replica from the actual leader, routing writes to the wrong node.","Use Patroni's REST API endpoints (/leader, /replica, /health) for HAProxy/load balancer health checks, not a raw Postgres port check.","Configure HAProxy to health-check the raw Postgres TCP port instead of Patroni's role-aware REST endpoints.","curl http://node1:8008/leader",HIGH,https://patroni.readthedocs.io/en/latest/rest_api.html
Bootstrap,Bootstrap configuration for new clusters,"bootstrap, initdb, pg_hba.conf, cluster init","Bootstrap parameters (initdb options, pg_hba.conf rules) are only applied when a cluster is first initialized; changing them later in the Patroni config has no effect on an already-bootstrapped cluster.","Get bootstrap.dcs settings (pg_hba, initdb params) right before first initialization -- they require manual intervention to change after the fact.","Assume changing bootstrap-section YAML after the cluster is already running will retroactively apply those settings.","bootstrap:\n  dcs:\n    postgresql:\n      pg_hba: [""host replication replicator 10.0.0.0/24 md5""]",MEDIUM,https://patroni.readthedocs.io/en/latest/SETTINGS.html#bootstrap-configuration
Reliability,Maximum lag on failover,"maximum_lag_on_failover, replica promotion, data loss window","With no maximum_lag_on_failover set, Patroni can promote a badly lagging replica during failover, silently accepting a larger data-loss window than intended.","Set maximum_lag_on_failover to bound how far behind a replica can be and still be eligible for promotion.","Leave maximum_lag_on_failover unset and let any replica, however far behind, be eligible for promotion.","maximum_lag_on_failover: 1048576",MEDIUM,https://patroni.readthedocs.io/en/latest/SETTINGS.html#dynamic-configuration-settings
Operations,Manual maintenance mode (pause),"patronictl pause, maintenance mode, manual dba intervention","Performing manual DBA maintenance on a Patroni-managed node without pausing the cluster first risks Patroni 'fixing' your manual change mid-operation, fighting against the DBA.","Use patronictl pause before manual maintenance that Patroni shouldn't interfere with, and resume afterward.","Perform manual failover testing or config changes on a live node without pausing Patroni first.","patronictl pause mycluster\n# ... manual work ...\npatronictl resume mycluster",MEDIUM,https://patroni.readthedocs.io/en/latest/pause.html
