Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Dependencies,Dependency pinning with lockfiles,"lockfile, pip freeze, poetry.lock, reproducible builds","Installing from a loose requirements.txt (no pinned versions) means the same codebase can pull different transitive dependency versions on different days, breaking reproducibility.","Use a lockfile (poetry.lock, pip-tools' requirements.txt, uv.lock) that pins exact versions including transitive deps.","Install dependencies from an unpinned requirements.txt in production.","pip-compile requirements.in -o requirements.txt",MEDIUM,https://pip.pypa.io/en/stable/topics/repeatable-installs/
Environment,Virtual environment isolation,"venv, virtualenv, global install, dependency conflict","Installing packages into the system/global Python interpreter causes version conflicts between unrelated projects and can break OS-level tooling that depends on system Python.","Create a project-scoped virtual environment (venv, poetry, uv) and never pip install into the system interpreter.","Run pip install directly against the system Python for application dependencies.","python -m venv .venv && source .venv/bin/activate",MEDIUM,https://docs.python.org/3/library/venv.html
Packaging,pyproject.toml as the packaging standard,"pyproject.toml, setup.py, packaging, build backend","Legacy setup.py-based packaging mixes build logic with arbitrary Python execution at install time; pyproject.toml with a declarative build backend is the modern, safer standard.","Define package metadata and dependencies in pyproject.toml using a build backend like hatchling or setuptools' declarative mode.","Author new packages with a setup.py as the only packaging definition in 2026.","[project]\nname = ""myapp""\nversion = ""0.1.0""\ndependencies = [""requests>=2.31""]",LOW,https://packaging.python.org/en/latest/guides/writing-pyproject-toml/
Async,Blocking calls inside async code,"asyncio, blocking call, event loop, sync in async","A single synchronous blocking call (requests.get, time.sleep, sync DB driver) inside an async function stalls the entire event loop, silently killing concurrency for every other coroutine.","Use async-native libraries (httpx, asyncpg) or run blocking calls in a thread pool via asyncio.to_thread.","Call a synchronous blocking library function directly inside an async def function.","result = await asyncio.to_thread(blocking_function, arg)",HIGH,https://docs.python.org/3/library/asyncio-task.html#asyncio.to_thread
Testing,pytest fixtures and scope,"pytest fixture, fixture scope, test isolation, conftest","A fixture scoped session/module when it holds mutable state can leak state between tests, causing order-dependent test failures that are hard to reproduce.","Default fixtures to function scope; only widen scope (module/session) for genuinely expensive, immutable setup.","Share a mutable database connection or object across tests via a session-scoped fixture without resetting state.","@pytest.fixture\ndef db_session():\n    session = create_session()\n    yield session\n    session.rollback()",MEDIUM,https://docs.pytest.org/en/stable/how-to/fixtures.html
Type Safety,Type hints and mypy in CI,"type hints, mypy, static typing, type checking","Type hints with no enforcement (no mypy/pyright in CI) become stale documentation that silently drifts from the actual code, giving false confidence.","Add type hints incrementally and run mypy/pyright in CI so hints stay accurate over time.","Add type hints once and never re-check them with a static type checker in CI.","mypy --strict src/",LOW,https://mypy.readthedocs.io/en/stable/
Observability,Logging vs print,"logging module, print debugging, log level, structured logging","print() statements left in production code can't be filtered by severity, redirected, or correlated across requests the way the logging module's levels and handlers can.","Use the logging module (or structlog) with appropriate levels, not print(), for anything beyond local debugging.","Leave print() statements as the primary diagnostic output in production services.","import logging\nlogger = logging.getLogger(__name__)\nlogger.warning(""retrying request"", extra={""attempt"": n})",LOW,https://docs.python.org/3/library/logging.html
Correctness,Mutable default arguments,"mutable default argument, list default, shared state bug","A mutable default argument (def f(items=[])) is evaluated once at function definition time and shared across every call, causing state to silently accumulate between unrelated calls.","Use None as the default and initialize the mutable object inside the function body.","Use a mutable literal (list, dict, set) directly as a default argument value.","def add_item(item, items=None):\n    items = items if items is not None else []\n    items.append(item)\n    return items",MEDIUM,https://docs.python-guide.org/writing/gotchas/#mutable-default-arguments
Packaging,Application vs library dependency specification,"dependency versioning, semver ranges, application pinning","Libraries should specify loose compatible version ranges so they don't conflict with consumers' other dependencies, while applications should pin exact versions for reproducible deploys -- conflating the two causes dependency hell.","Pin exact versions in application lockfiles; use loose compatible ranges (>=,<) in library package metadata.","Pin exact dependency versions in a published library's pyproject.toml.","dependencies = [""requests>=2.28,<3""]",LOW,https://packaging.python.org/en/latest/discussions/install-requires-vs-requirements/
Testing,Test isolation from external services,"mocking, test doubles, integration test, flaky test","Unit tests that make real network calls to external services are flaky (fail on network blips) and slow; they belong in a separate integration test suite, not the fast unit test loop.","Mock/stub external service calls in unit tests; reserve real calls for a clearly separated integration test suite.","Let unit tests hit real third-party APIs or databases as part of the default fast test run.","@patch('myapp.client.requests.get')\ndef test_fetch(mock_get):\n    mock_get.return_value.status_code = 200",MEDIUM,https://docs.pytest.org/en/stable/how-to/monkeypatch.html
Concurrency,GIL-aware concurrency choice,"gil, global interpreter lock, multiprocessing, threading","Using threading for CPU-bound work doesn't get real parallelism because of the GIL; only I/O-bound work benefits from threads, CPU-bound work needs multiprocessing or a native extension.","Use multiprocessing (or a subinterpreter/native extension) for CPU-bound parallel work, threading/asyncio for I/O-bound concurrency.","Use threading expecting real parallel speedup on CPU-bound number crunching.","from multiprocessing import Pool\nwith Pool(4) as p:\n    results = p.map(cpu_bound_fn, items)",MEDIUM,https://docs.python.org/3/library/multiprocessing.html
Security,Deserializing untrusted data,"pickle, eval, untrusted input, deserialization","Unpickling data from an untrusted source (or eval()'ing user input) allows arbitrary code execution -- pickle is not a safe serialization format for anything crossing a trust boundary.","Use JSON or another safe serialization format for untrusted input; never pickle.loads or eval() data from outside your trust boundary.","Deserialize user-supplied or network-received data with pickle.loads or eval().","import json\ndata = json.loads(untrusted_input)",CRITICAL,https://docs.python.org/3/library/pickle.html#module-pickle
Packaging,Reproducible builds with hash checking,"pip hash, requirements hash, supply chain security","Installing from PyPI with no hash verification means a compromised or typosquatted package version can be installed silently even if the version pin looks correct.","Use --require-hashes with pip-compiled requirements to verify package integrity at install time.","Install production dependencies with no hash verification.","pip install --require-hashes -r requirements.txt",MEDIUM,https://pip.pypa.io/en/stable/topics/secure-installs/
