Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
JVM Tuning,Heap sizing and GC selection,"jvm heap, -xmx, -xms, garbage collector, gc tuning","Leaving heap size at JVM defaults on a container lets the JVM size itself off host memory instead of the container's cgroup limit, causing OOMKilled pods even though 'heap looked fine'.","Set -Xmx/-Xms explicitly (or verify -XX:+UseContainerSupport is honoring cgroup limits) and choose a GC (G1, ZGC) matched to latency/throughput needs.","Run JVM workloads in containers with default heap sizing and no verification against the container memory limit.","java -Xms512m -Xmx512m -XX:+UseG1GC -jar app.jar",HIGH,https://docs.oracle.com/en/java/javase/21/gctuning/
Concurrency,Thread pool sizing,"threadpool, executorservice, thread starvation, connection pool exhaustion","An unbounded or oversized thread pool (Executors.newCachedThreadPool) can spawn thousands of threads under load, exhausting memory and downstream connection pools simultaneously.","Size thread pools deliberately (bounded queue + fixed pool) based on workload type (CPU-bound vs I/O-bound) and downstream capacity.","Use Executors.newCachedThreadPool() for a production service with unpredictable load.","new ThreadPoolExecutor(10, 20, 60L, TimeUnit.SECONDS, new LinkedBlockingQueue<>(500))",HIGH,https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/concurrent/ThreadPoolExecutor.html
Database,Connection pool configuration,"connection pool, hikaricp, max pool size, connection leak","A connection pool sized larger than the database's actual max_connections causes connection errors under load; sized too small, it causes request queuing and timeouts.","Size the connection pool based on (core_count * 2 + effective_spindle_count) as a starting heuristic, then tune from observed wait times, never exceeding DB max_connections / instance_count.","Set the app's connection pool max size higher than what the database server can actually accept.","maximumPoolSize=10 # tuned against Postgres max_connections and instance count",HIGH,https://github.com/brettwooldridge/HikariCP#gear-configuration-knobs-baby
Build Tools,Maven vs Gradle dependency management,"maven, gradle, dependency conflict, transitive dependency","Conflicting transitive dependency versions ('dependency hell') silently resolve to whichever version wins the build tool's resolution strategy, which may not be the version you tested against.","Explicitly declare/pin versions for dependencies known to conflict, and run dependency:tree / dependencies to audit resolution before release.","Assume transitive dependency resolution always picks a safe, tested version automatically.","mvn dependency:tree -Dverbose",MEDIUM,https://maven.apache.org/plugins/maven-dependency-plugin/tree-mojo.html
Runtime,Classloader leaks in app servers,"classloader leak, permgen, metaspace, hot redeploy","Repeatedly hot-redeploying an application in a shared app server (Tomcat) without clean classloader teardown leaks Metaspace/PermGen over time until the server needs a restart.","Ensure libraries don't leave static references, ThreadLocals, or shutdown hooks that pin the old classloader after redeploy; restart app servers periodically as a safety net.","Assume hot redeploys are always leak-free with no monitoring of Metaspace growth over time.","jcmd <pid> VM.classloader_stats",MEDIUM,https://docs.oracle.com/en/java/javase/21/troubleshoot/diagnostic-tools.html
Reliability,Exception handling anti-patterns,"catch exception, swallowed exception, empty catch block","Catching a broad Exception (or Throwable) and swallowing it silently hides real failures, making production issues invisible until they cause a much bigger downstream problem.","Catch the narrowest exception type meaningful to the context, log or rethrow, and never leave an empty catch block.","catch (Exception e) {} with no logging or rethrow.","catch (IOException e) {\n    logger.error(""failed to read config"", e);\n    throw new ConfigLoadException(e);\n}",HIGH,https://docs.oracle.com/javase/tutorial/essential/exceptions/
Memory,Static collections as memory leaks,"static collection, memory leak, heap growth, static map","A static Map or List used as a cache with no eviction policy grows unbounded for the life of the JVM, eventually causing OutOfMemoryError under sustained load.","Use a bounded cache (Caffeine, Guava Cache) with an eviction policy instead of a raw static collection for anything cache-like.","Use a static HashMap as an unbounded application-level cache.","Cache<String, User> cache = Caffeine.newBuilder().maximumSize(10_000).expireAfterWrite(Duration.ofMinutes(30)).build();",HIGH,https://github.com/ben-manes/caffeine/wiki
Diagnostics,Profiling before optimizing,"profiler, jfr, async-profiler, premature optimization","Optimizing Java code based on guesswork instead of a profiler (JFR, async-profiler) routinely targets the wrong hotspot, wasting effort on code that isn't actually the bottleneck.","Profile with JDK Flight Recorder or async-profiler under representative load before optimizing anything.","Optimize suspected 'slow' code paths without first confirming them with a profiler.","java -XX:+FlightRecorder -XX:StartFlightRecording=filename=recording.jfr -jar app.jar",LOW,https://docs.oracle.com/en/java/javase/21/jfapi/flight-recorder-api-programmers-guide.html
Concurrency,Thread safety of shared mutable state,"race condition, synchronized, thread safety, concurrentmodificationexception","Sharing a plain HashMap or ArrayList across threads without synchronization causes silent data corruption or ConcurrentModificationException under concurrent access, often only under production load.","Use concurrent collections (ConcurrentHashMap, CopyOnWriteArrayList) or explicit synchronization for state shared across threads.","Share a plain HashMap across multiple threads with no synchronization.","Map<String, Integer> counts = new ConcurrentHashMap<>();",HIGH,https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/concurrent/ConcurrentHashMap.html
JVM Tuning,GC pause monitoring,"gc pause, stop-the-world, gc logging, latency spike","Without GC logging enabled, a latency-sensitive service's periodic multi-hundred-millisecond stop-the-world pauses look like unexplained request spikes with no obvious cause.","Enable GC logging (-Xlog:gc*) and correlate pause events with latency spikes in monitoring.","Diagnose latency spikes without ever checking whether GC pauses correlate with them.","java -Xlog:gc*:file=gc.log:time,uptime,level,tags -jar app.jar",MEDIUM,https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html#enable-logging-with-the-jvm-unified-logging-framework
Build Tools,Reproducible builds with dependency locking,"gradle lockfile, maven dependency lock, reproducible build","Without dependency locking, a fresh CI build can resolve a different (newer) transitive dependency version than the one that was tested, causing 'works on my machine' build drift.","Enable Gradle dependency locking (or Maven's dependency:lock-equivalent enforcer rules) so CI resolves the exact same versions every time.","Let CI re-resolve the full dependency graph fresh on every build with no lock file.","./gradlew dependencies --write-locks",LOW,https://docs.gradle.org/current/userguide/dependency_locking.html
Reliability,Graceful shutdown handling,"shutdown hook, sigterm, graceful shutdown, in-flight requests","A JVM process that doesn't handle SIGTERM gracefully drops in-flight requests immediately when Kubernetes/systemd sends the termination signal during a deploy or scale-down.","Register a shutdown hook that stops accepting new work and drains in-flight requests within the orchestrator's grace period.","Let the JVM terminate immediately on SIGTERM with no drain of in-flight requests.","Runtime.getRuntime().addShutdownHook(new Thread(server::gracefulShutdown));",MEDIUM,https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Runtime.html#addShutdownHook(java.lang.Thread)
Diagnostics,Heap dump analysis for OOM,"heap dump, oom, memory analyzer, heapdumponoutofmemoryerror","Restarting a service after an OutOfMemoryError with no heap dump captured throws away the exact evidence needed to find the leak, guaranteeing the same failure recurs.","Enable -XX:+HeapDumpOnOutOfMemoryError so a heap dump is captured automatically for post-mortem analysis (e.g. with Eclipse MAT).","Restart the JVM after an OOM with no heap dump captured for analysis.","java -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/var/dumps -jar app.jar",MEDIUM,https://docs.oracle.com/en/java/javase/21/troubleshoot/diagnostic-tools.html
