Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Compute,EC2 instance right-sizing,"ec2, instance type, right-sizing, cost","Oversized EC2 instances chosen 'to be safe' are one of the largest sources of avoidable cloud spend; most workloads run well below the CPU/memory profile of their instance class.","Right-size using CloudWatch/Compute Optimizer data after 2+ weeks of real traffic, not guesswork at launch.","Pick a large instance type at launch and never revisit it.","aws compute-optimizer get-ec2-instance-recommendations --instance-arns <arn>",MEDIUM,https://docs.aws.amazon.com/compute-optimizer/latest/ug/view-ec2-recommendations.html
Storage,S3 bucket public access,"s3 bucket policy, public access, data exposure, block public access","A misconfigured S3 bucket policy or ACL can expose sensitive data to the entire internet; this remains one of the most common cloud data breach causes.","Enable S3 Block Public Access at the account level and use bucket policies with explicit principals instead of ACLs.","Grant s3:GetObject to Principal: '*' without a CloudFront OAC in front of it.","aws s3api put-public-access-block --bucket my-bucket --public-access-block-configuration BlockPublicAcls=true,IgnorePublicAcls=true,BlockPublicPolicy=true,RestrictPublicBuckets=true",CRITICAL,https://docs.aws.amazon.com/AmazonS3/latest/userguide/access-control-block-public-access.html
IAM,Least-privilege IAM policies,"iam policy, least privilege, wildcard permissions, access analyzer","Broad IAM policies using Resource: '*' and Action: '*' (or attaching AdministratorAccess to service roles) turn any single compromised credential into a full account takeover.","Scope IAM policies to specific actions and resource ARNs, and use IAM Access Analyzer to find over-permissioned roles.","Attach AdministratorAccess to an application's execution role for convenience.","aws accessanalyzer start-policy-generation --policy-generation-details principalArn=<role-arn>",CRITICAL,https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html
Serverless,Lambda cold starts and timeouts,"lambda cold start, timeout, provisioned concurrency, vpc lambda","Lambda functions in a VPC or with large deployment packages suffer multi-second cold starts, and a timeout set too low silently kills otherwise-successful long calls.","Use provisioned concurrency for latency-sensitive functions and set timeout with margin above p99 execution time, monitored via CloudWatch.","Attach every Lambda to a VPC by default and leave timeout at the 3-second default.","aws lambda put-provisioned-concurrency-config --function-name my-fn --qualifier prod --provisioned-concurrent-executions 5",MEDIUM,https://docs.aws.amazon.com/lambda/latest/dg/provisioned-concurrency.html
Networking,VPC subnet and route design,"vpc, subnet, public private, nat gateway, route table","Placing databases or internal services in public subnets with public IPs unnecessarily widens the attack surface; private subnets with a NAT gateway for egress is the standard pattern.","Put stateful/internal resources in private subnets and route outbound internet traffic through a NAT gateway.","Assign public IPs to RDS instances or internal app servers for convenience.","aws ec2 create-nat-gateway --subnet-id <public-subnet> --allocation-id <eip-alloc-id>",HIGH,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-subnets-commands-example.html
Database,RDS backups and Multi-AZ,"rds backup, multi-az, point-in-time recovery, disaster recovery","Single-AZ RDS instances have no automatic failover, and disabled automated backups mean a bad migration or accidental DROP TABLE is unrecoverable.","Enable Multi-AZ for production RDS and confirm automated backups + point-in-time recovery windows meet your RPO.","Run production RDS Single-AZ with backups disabled to save cost.","aws rds modify-db-instance --db-instance-identifier prod-db --multi-az --apply-immediately",CRITICAL,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Concepts.MultiAZ.html
Containers,EKS node group sizing,"eks, node group, managed node group, karpenter, cluster autoscaler","Static EKS node groups sized for peak load waste money at idle and under-provision during bursts; Karpenter or Cluster Autoscaler with mixed instance types handles both better.","Use Karpenter (or Cluster Autoscaler) with spot + on-demand mixed node pools instead of a single fixed-size managed node group.","Size a single managed node group for peak traffic and leave it static year-round.","kubectl apply -f karpenter-nodepool.yaml",MEDIUM,https://docs.aws.amazon.com/eks/latest/userguide/autoscaling.html
Observability,CloudWatch alarms on the wrong signals,"cloudwatch alarm, sns, metric alarm, alerting","Alarming only on infrastructure metrics (CPU, memory) misses user-facing failures; without alarms tied to error rates/latency and an SNS action, incidents go unnoticed until customers complain.","Alarm on customer-facing SLIs (error rate, p99 latency, queue depth) in addition to infra metrics, wired to SNS/PagerDuty.","Create CloudWatch alarms with no configured action, or only alarm on CPU utilization.","aws cloudwatch put-metric-alarm --alarm-name high-error-rate --metric-name 5xxError --threshold 1 --comparison-operator GreaterThanThreshold --evaluation-periods 2 --alarm-actions <sns-arn>",HIGH,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/AlarmThatSendsEmail.html
Security,Security group hygiene,"security group, 0.0.0.0/0, ingress rule, ssh exposed","Security groups open to 0.0.0.0/0 on SSH (22) or database ports are routinely found and exploited by automated internet scanners within minutes of creation.","Restrict SSH/RDP/DB ports to specific known CIDRs or a bastion/SSM, never 0.0.0.0/0.","Open port 22 or 3389 to 0.0.0.0/0 'temporarily' for debugging.","aws ec2 revoke-security-group-ingress --group-id sg-123 --protocol tcp --port 22 --cidr 0.0.0.0/0",CRITICAL,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-security-groups.html
Cost,Unattached EBS volumes and idle resources,"ebs volume, unattached, cost control, idle resources","Deleted EC2 instances leave their EBS volumes and old snapshots behind by default, silently accumulating storage cost for resources nothing is using.","Regularly audit for unattached EBS volumes, unused Elastic IPs, and idle load balancers via Cost Explorer or Trusted Advisor.","Terminate instances without checking for orphaned EBS volumes and Elastic IPs.","aws ec2 describe-volumes --filters Name=status,Values=available --query 'Volumes[].VolumeId'",MEDIUM,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ebs-cost-optimization.html
Networking,Route53 health checks and failover,"route53, health check, dns failover, latency routing","Without Route53 health checks tied to a failover or latency-based routing policy, DNS keeps sending traffic to a dead endpoint until a human intervenes.","Attach health checks to Route53 records and use failover or latency routing policies for multi-region resilience.","Use a simple A record with no health check for a production endpoint that has a standby region.","aws route53 create-health-check --health-check-config Type=HTTPS,ResourcePath=/health,FullyQualifiedDomainName=api.example.com",MEDIUM,https://docs.aws.amazon.com/Route53/latest/DeveloperGuide/dns-failover.html
Compute,Auto Scaling group health checks,"autoscaling group, elb health check, launch template, scaling policy","An ASG using only EC2 status checks (not ELB health checks) will keep an instance in rotation that's failing at the application layer but still 'running' at the instance layer.","Configure ASG health check type ELB so unhealthy-at-the-app-layer instances get replaced, and use a launch template (not launch config) for new ASGs.","Leave ASG health check type as EC2 for a web-facing service behind a load balancer.","aws autoscaling update-auto-scaling-group --auto-scaling-group-name web-asg --health-check-type ELB --health-check-grace-period 300",MEDIUM,https://docs.aws.amazon.com/autoscaling/ec2/userguide/ec2-auto-scaling-health-checks.html
IAM,Root account and MFA,"root account, mfa, access keys, break glass","Using the AWS root account for daily work, or leaving it without MFA, means a single leaked credential compromises the entire account with no guardrails.","Enable MFA on the root account, remove/never create root access keys, and use it only for the handful of tasks that require it.","Generate long-lived access keys for the root account and use them in automation.","aws iam get-account-summary --query 'SummaryMap.AccountMFAEnabled'",CRITICAL,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_root-user.html
Serverless,Lambda IAM execution role scope,"lambda execution role, iam, least privilege, resource policy","The default pattern of copy-pasting a broad execution role across Lambda functions means one function's vulnerability can touch resources it never needed access to.","Give each Lambda function its own execution role scoped only to the specific resources (tables, buckets, queues) it actually touches.","Share one broad execution role across every Lambda function in an account.","aws iam create-role --role-name fn-specific-role --assume-role-policy-document file://trust.json",HIGH,https://docs.aws.amazon.com/lambda/latest/dg/lambda-permissions.html
