Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Build,Dockerfile layer caching order,"layer caching, dockerfile order, build cache, cache invalidation","Copying the entire source tree before installing dependencies busts the Docker build cache on every code change, forcing a full dependency reinstall each build.","Copy dependency manifests (package.json, requirements.txt) and install first, then copy the rest of the source.","COPY . . before installing dependencies in a Dockerfile.","COPY requirements.txt .\nRUN pip install -r requirements.txt\nCOPY . .",MEDIUM,https://docs.docker.com/build/cache/
Build,Multi-stage builds for smaller images,"multi-stage build, build stage, final image size","Shipping build tools (compilers, dev headers) in the final production image bloats it and expands the attack surface unnecessarily.","Use multi-stage builds: compile/build in one stage, copy only the compiled artifact into a minimal final stage.","Ship the same image used to compile the app as the production runtime image.","FROM golang:1.22 AS build\nRUN go build -o app\nFROM gcr.io/distroless/base\nCOPY --from=build /app /app",MEDIUM,https://docs.docker.com/build/building/multi-stage/
Security,Running containers as non-root,"non-root user, USER directive, container privilege, root container","Containers running as root by default mean a container-escape vulnerability hands the attacker root on the host (or at minimum root within the container's namespace).","Add a USER directive with a non-root UID in every Dockerfile, and set runAsNonRoot at the orchestrator level too.","Leave the default root user active in production container images.","RUN useradd -u 1001 appuser\nUSER appuser",HIGH,https://docs.docker.com/engine/security/userns-remap/
Build,.dockerignore hygiene,"dockerignore, build context, secrets in image, .git","Without a .dockerignore, the entire build context -- including .git, local .env files, and node_modules -- gets sent to the daemon and can end up baked into layers.","Maintain a .dockerignore excluding .git, .env, node_modules, and other local-only artifacts.","Build with no .dockerignore and let secrets/local files leak into the build context.",".git\n.env\nnode_modules\n*.log",MEDIUM,https://docs.docker.com/build/building/context/#dockerignore-files
Networking,docker-compose network isolation,"docker-compose network, bridge network, service discovery","Putting every service on the default bridge network with no explicit network segmentation means a compromised frontend container can reach the database container directly.","Define explicit named networks in docker-compose and only attach services that genuinely need to talk to each other.","Leave all services on the default network with no segmentation between tiers.","networks:\n  frontend:\n  backend:\nservices:\n  db:\n    networks: [backend]",MEDIUM,https://docs.docker.com/compose/networking/
Reliability,Container health checks,"healthcheck, docker healthcheck, container restart, orchestrator readiness","Without a HEALTHCHECK, Docker/orchestrators only know if the process is running, not if it's actually serving traffic -- a hung-but-alive process looks healthy forever.","Define a HEALTHCHECK instruction (or compose healthcheck) that hits a real readiness endpoint.","Rely on 'container is running' as a proxy for 'container is healthy'.","HEALTHCHECK --interval=30s --timeout=3s CMD curl -f http://localhost/health || exit 1",MEDIUM,https://docs.docker.com/engine/reference/builder/#healthcheck
Security,Secrets baked into images,"docker secrets, build args, env vars, image layers","Passing secrets via ENV or ARG gets them baked into image layers and visible via docker history, even if a later layer 'deletes' the file.","Use BuildKit secret mounts (--secret) or runtime secret injection, never ENV/ARG, for credentials.","Pass an API key via --build-arg and bake it into an image layer.","RUN --mount=type=secret,id=npmrc npm install",CRITICAL,https://docs.docker.com/build/building/secrets/
Build,Base image pinning,"base image tag, image digest, latest tag, supply chain","Building FROM a mutable tag like node:latest means the same Dockerfile can produce a different image next week with no code change, breaking reproducibility and supply-chain guarantees.","Pin base images to a specific version tag or digest (FROM node:20.11-slim@sha256:...).","Build production images FROM <base>:latest.","FROM node:20.11-slim@sha256:abcd1234...",MEDIUM,https://docs.docker.com/build/building/base-images/
Build,BuildKit and cache mounts,"buildkit, cache mount, docker build, dependency cache","Without BuildKit's cache mounts, package manager caches (apt, pip, npm) get re-downloaded on every build even when layer caching itself is invalidated for unrelated reasons.","Enable BuildKit and use --mount=type=cache for package manager directories to persist download caches across builds.","Build without BuildKit cache mounts and re-download all dependencies on every cache miss.","RUN --mount=type=cache,target=/root/.cache/pip pip install -r requirements.txt",LOW,https://docs.docker.com/build/cache/optimize/
Image Size,Minimizing final image size,"image size, alpine, distroless, slim image","Using a full OS base image (ubuntu, debian) for a runtime that only needs a language runtime bloats images to hundreds of MB, slowing pulls and expanding attack surface.","Prefer slim/alpine/distroless base images for the final stage when compatible with your runtime's libc requirements.","Default to the full ubuntu/debian base image for every container.","FROM python:3.12-slim",LOW,https://docs.docker.com/build/building/best-practices/
Orchestration,docker-compose environment parity,"docker-compose, environment variables, .env file, dev prod parity","Hardcoding different config directly into multiple docker-compose.override files per environment drifts silently; a single .env-driven compose file is easier to keep consistent.","Drive environment differences through .env files and variable substitution in a single docker-compose.yml.","Maintain separate full docker-compose.yml copies per environment that duplicate 90% of the config.","services:\n  app:\n    image: myapp:${TAG:-latest}",LOW,https://docs.docker.com/compose/environment-variables/set-environment-variables/
Reliability,Restart policies,"restart policy, always, on-failure, unless-stopped","No restart policy means a crashed container stays dead until someone notices and manually restarts it, turning a transient failure into an outage.","Set restart: unless-stopped (or on-failure with a max retry count) for long-running services.","Leave restart policy unset (""no"") on production services.","services:\n  app:\n    restart: unless-stopped",MEDIUM,https://docs.docker.com/config/containers/start-containers-automatically/
Security,Image vulnerability scanning,"docker scan, trivy, image scanning, cve","Pushing images to a registry without scanning them means known CVEs in base images or dependencies ship straight to production undetected.","Scan images in CI with a tool like Trivy or Docker Scout before pushing to the registry, and fail the build on critical CVEs.","Push images to production registries with no vulnerability scan gate in CI.","trivy image --severity CRITICAL,HIGH myapp:latest",HIGH,https://docs.docker.com/scout/
Build,Layer count and RUN instruction consolidation,"run instruction, layer count, image bloat, apt-get clean","Each RUN instruction creates a new layer; leftover apt cache from an unconsolidated RUN apt-get install (without cleanup in the same layer) stays in the image even if a later layer deletes it.","Chain related RUN commands (install, cleanup) in a single instruction so intermediate layers don't retain deleted files.","Run apt-get install in one RUN and rm -rf /var/lib/apt/lists/* in a separate later RUN.","RUN apt-get update && apt-get install -y curl && rm -rf /var/lib/apt/lists/*",LOW,https://docs.docker.com/build/building/best-practices/#minimize-the-number-of-layers
