Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Networking,Cloudflare Tunnel setup,"cloudflare tunnel, cloudflared, zero trust, exposing internal services","Opening inbound firewall ports to expose an internal service to the internet creates a direct attack surface; Cloudflare Tunnel establishes an outbound-only connection so no inbound ports need to open at all.","Use cloudflared to run a Tunnel for exposing internal services, avoiding any inbound firewall port opening.","Open inbound firewall ports on a home/office network to expose an internal service directly to the internet.","cloudflared tunnel create mytunnel\ncloudflared tunnel route dns mytunnel app.example.com",MEDIUM,https://developers.cloudflare.com/cloudflare-one/connections/connect-networks/
Serverless,Workers KV and Durable Objects selection,"workers kv, durable objects, eventual consistency, strong consistency","Using KV for data that needs strong consistency or frequent writes causes stale reads (KV is eventually consistent, optimized for read-heavy data) or hits write-rate limits; Durable Objects give strongly consistent per-object state instead.","Use Workers KV for read-heavy, eventually-consistent data, and Durable Objects when you need strong consistency or coordinated state per entity.","Use Workers KV as the backing store for data requiring strong consistency or frequent per-key writes (e.g. a counter or lock).","export class Counter { async fetch(request) { /* strongly consistent state */ } }",MEDIUM,https://developers.cloudflare.com/durable-objects/
DNS,DNS proxy vs DNS-only records,"orange cloud, grey cloud, dns proxy, dns-only","Proxying (orange-clouding) a DNS record that's meant for direct server-to-server traffic (like an MX record's target or an SSH endpoint) can break protocols Cloudflare's proxy doesn't support for that traffic type.","Proxy (orange cloud) records for HTTP(S) traffic that should get Cloudflare's CDN/WAF benefits; leave DNS-only (grey cloud) for non-HTTP services and mail records.","Enable the orange-cloud proxy on records for non-HTTP protocols (SSH, arbitrary TCP, mail server IPs) that the proxy doesn't support.","A record: app.example.com -> proxied (orange)\nMX record: mail.example.com -> DNS only (grey)",MEDIUM,https://developers.cloudflare.com/dns/manage-dns-records/reference/proxied-dns-records/
Security,WAF custom rules,"waf, custom rule, managed ruleset, security level","Relying only on Cloudflare's default security level with no custom WAF rules leaves application-specific attack patterns (like a known bad query parameter) unaddressed until they're actively exploited.","Layer custom WAF rules on top of managed rulesets for application-specific threats, and test rules in Log mode before switching to Block.","Deploy a new WAF rule directly in Block mode against production traffic without first validating it in Log mode.","(http.request.uri.path contains ""/wp-admin"") and not ip.src in $known_admins",HIGH,https://developers.cloudflare.com/waf/custom-rules/
Deployment,Pages deployment and preview environments,"cloudflare pages, preview deployment, build configuration","Pushing directly to a Pages production branch with no preview deployment step means every change goes live before anyone can review it in a real deployed environment.","Use Pages' automatic preview deployments per branch/PR to review changes in a real environment before merging to the production branch.","Merge directly to the Pages production branch with no preview deployment review step.","wrangler pages deploy dist/ --project-name my-app",LOW,https://developers.cloudflare.com/pages/configuration/preview-deployments/
Performance,Cache rules and purging strategy,"cache rules, cache purge, edge caching, cache-control","Purging the entire cache after every deploy (instead of purging only changed assets) causes a global cold-cache spike, temporarily increasing origin load and latency for all users simultaneously.","Use targeted cache purging (by tag or URL) for changed assets, and set explicit Cache-Control/cache rules per content type rather than relying on defaults everywhere.","Purge the entire zone cache on every deploy regardless of what actually changed.","curl -X POST https://api.cloudflare.com/client/v4/zones/$ZONE/purge_cache -d '{""tags"":[""release-42""]}'",MEDIUM,https://developers.cloudflare.com/cache/how-to/purge-cache/
Access Control,Zero Trust access policies,"cloudflare access, zero trust, identity-aware proxy, application policy","Exposing an internal admin tool via a Tunnel with no Access policy in front of it means anyone who discovers the URL can reach it, defeating the purpose of moving off a VPN.","Put Cloudflare Access policies (identity-based, scoped to specific groups/emails) in front of any internal application exposed via Tunnel.","Expose an internal tool through a Tunnel with no Access policy, relying on 'security through obscurity' of the URL alone.","Access Policy: Allow -> Emails ending in @company.com AND group = engineering",CRITICAL,https://developers.cloudflare.com/cloudflare-one/policies/access/
Reliability,Rate limiting rules,"rate limiting rule, api abuse, brute force protection","An API or login endpoint with no rate limiting is trivially abusable for credential stuffing or scraping at whatever rate the attacker's infrastructure can sustain.","Configure rate limiting rules on sensitive endpoints (login, password reset, public APIs) with thresholds based on legitimate usage patterns.","Leave login or password-reset endpoints with no rate limiting configured at the edge.","(http.request.uri.path eq ""/login"") -> rate: 5 requests per 60 seconds per IP",HIGH,https://developers.cloudflare.com/waf/rate-limiting-rules/
Serverless,Workers cold start and bundle size,"workers cold start, bundle size, cpu time limit","A Worker bundled with large unused dependencies increases cold-start time and can hit Workers' CPU time limits under load, especially for compute-heavy logic that doesn't belong on the edge.","Keep Worker bundles lean (tree-shake unused code) and move CPU-heavy logic off the edge to a traditional backend where it belongs.","Bundle a full-size npm dependency tree into a Worker for functionality only a small subset of it actually needs.","export default { async fetch(request, env, ctx) { /* lean, focused logic */ } }",MEDIUM,https://developers.cloudflare.com/workers/platform/limits/
DNS,DNSSEC and domain security,"dnssec, domain hijacking, dns spoofing","A domain with no DNSSEC configured is vulnerable to DNS spoofing/cache poisoning attacks that can redirect users to a malicious server without their DNS resolver detecting anything wrong.","Enable DNSSEC on production domains to cryptographically sign DNS responses and prevent spoofing.","Leave production domains without DNSSEC enabled, relying solely on unsigned DNS responses.","Cloudflare Dashboard > DNS > Settings > Enable DNSSEC",MEDIUM,https://developers.cloudflare.com/dns/dnssec/
Networking,Load balancing and origin health checks,"cloudflare load balancer, origin health check, failover pool","A Cloudflare Load Balancer pool with no configured health check keeps routing traffic to a dead origin until someone notices manually, exactly the failure mode load balancing is meant to prevent.","Configure active health checks on Load Balancer origin pools so unhealthy origins are automatically routed around.","Set up a Load Balancer pool with multiple origins but no health check monitoring their actual availability.","Health Check: GET /health every 60s, 3 consecutive failures marks origin unhealthy",MEDIUM,https://developers.cloudflare.com/load-balancing/health-checks/
Security,API token scoping,"api token, cloudflare api key, least privilege token","Using the legacy Global API Key (full account access) for automation instead of a scoped API Token means any leak of that credential compromises the entire Cloudflare account, not just the specific zone/permission needed.","Create scoped API Tokens limited to the specific zone and permission set an integration actually needs, instead of using the Global API Key.","Use the account-wide Global API Key in automation scripts or CI pipelines instead of a narrowly scoped token.","curl -H ""Authorization: Bearer $SCOPED_TOKEN"" https://api.cloudflare.com/client/v4/zones/$ZONE/dns_records",HIGH,https://developers.cloudflare.com/fundamentals/api/get-started/create-token/
