Category,Topic,Keywords,Guidance,Do,Don't,Example,Severity,Reference
Transport,stdio vs SSE/HTTP transport choice,"stdio transport, sse transport, streamable http, mcp transport","stdio is simplest for local single-client tools (like Claude Desktop/Code launching a subprocess), but a server meant to be shared across multiple remote clients needs SSE/Streamable HTTP instead.","Use stdio for local single-process integrations; use Streamable HTTP (or SSE) for servers that need to be reachable remotely or by multiple concurrent clients.","Build a multi-tenant remote MCP server on stdio transport, which assumes a single local process pair.","{'transport': 'stdio', 'command': 'python', 'args': ['server.py']}",MEDIUM,https://modelcontextprotocol.io/docs/concepts/transports
Tool Design,Clear tool schema descriptions,"tool schema, tool description, parameter description, mcp tool design","A vague tool description ('does stuff with data') gives the calling model no basis to decide when to use it correctly or what parameters actually mean.","Write specific, unambiguous tool descriptions and per-parameter descriptions, including what the tool does NOT do if that's likely to be confused.","Ship an MCP tool with a one-word name and no description, relying on the model to infer its purpose.","{'name': 'search_orders', 'description': 'Search orders by customer email or order ID. Does not search product catalog.'}",HIGH,https://modelcontextprotocol.io/docs/concepts/tools
Security,Server authentication,"mcp auth, oauth, server authentication, unauthenticated server","Running a remote MCP server with no authentication means anyone who can reach the endpoint can invoke its tools, which is especially dangerous for tools with write/destructive side effects.","Implement OAuth (or another auth mechanism per the MCP spec) for any MCP server reachable over the network, especially ones with side-effecting tools.","Expose a remote MCP server with write-capable tools and no authentication on a network-reachable endpoint.","Authorization: Bearer <token>",CRITICAL,https://modelcontextprotocol.io/docs/concepts/architecture#authorization
Design,Resource vs tool distinction,"mcp resource, mcp tool, read vs action, resource uri","Modeling read-only reference data as a tool call (instead of a Resource) makes it harder for clients to cache, subscribe to updates, or present it outside the model's tool-call loop.","Use Resources for addressable, primarily-read data and Tools for actions/computations with side effects or dynamic parameters.","Expose all read-only data through tool calls instead of using Resources, losing addressability and caching benefits.","{'uri': 'orders://12345', 'name': 'Order 12345', 'mimeType': 'application/json'}",LOW,https://modelcontextprotocol.io/docs/concepts/resources
Reliability,Error handling in tool responses,"tool error response, isError, mcp error handling","Returning a raw exception stack trace (or silently returning empty/null on failure) as a tool result gives the calling model no actionable signal to recover or explain the failure to the user.","Return structured error responses (isError: true with a clear message) so the model can reason about and communicate the failure appropriately.","Let unhandled exceptions in a tool handler propagate as an opaque transport-level error with no actionable message.","{'isError': true, 'content': [{'type': 'text', 'text': 'Order 12345 not found'}]}",MEDIUM,https://modelcontextprotocol.io/docs/concepts/tools#error-handling
Reliability,Rate limiting external calls,"rate limiting, backoff, external api quota, mcp server reliability","An MCP tool that wraps an external API with no rate limiting or backoff can get the server's credentials throttled or banned when a model calls it in a tight loop.","Implement rate limiting/backoff inside tool handlers that wrap external APIs, and surface clear rate-limit errors back to the model.","Let an MCP tool call an external API with no rate limiting, allowing a runaway agent loop to exhaust the quota.","time.sleep(backoff_seconds)  # before retrying a rate-limited external call",MEDIUM,https://modelcontextprotocol.io/docs/concepts/tools
Discovery,MCP server discovery and registration,"server registration, mcp config, claude_desktop_config, server manifest","Hand-editing multiple client configuration files to register the same MCP server (once per client/machine) drifts out of sync and makes it easy to point different clients at different server versions.","Maintain a single source-of-truth server manifest/config and script its registration across clients rather than hand-editing each config file.","Hand-edit claude_desktop_config.json (or equivalent) separately on every machine with no shared source of truth for server config.","{'mcpServers': {'my-server': {'command': 'node', 'args': ['index.js']}}}",LOW,https://modelcontextprotocol.io/quickstart/user
Security,Least-privilege tool scoping,"tool permissions, least privilege, destructive tool, scoped access","Exposing a broad database-admin-level tool (arbitrary SQL execution) when the actual use case only needs read-only querying gives any calling model far more capability than the task requires.","Scope tools narrowly to the actual required operations (e.g. a parameterized read-only query tool) rather than exposing a general-purpose escape hatch.","Expose a generic 'run_sql' tool with full read/write database access when the use case only needs read-only lookups.","{'name': 'get_customer_orders', 'description': 'Read-only lookup of orders for a given customer ID.'}",HIGH,https://modelcontextprotocol.io/docs/concepts/tools
Design,Tool result size and truncation,"large tool output, context window, result truncation","Returning an entire unfiltered database table or full document as a tool result can blow past the model's context window in one call and drown out relevant information.","Paginate, filter, or summarize large tool results server-side, and let the model request more detail explicitly if needed.","Return an entire multi-thousand-row table as raw tool output for a query that needed one filtered row.","{'content': [{'type': 'text', 'text': 'Showing 10 of 4213 results. Use offset param for more.'}]}",MEDIUM,https://modelcontextprotocol.io/docs/concepts/tools
Reliability,Idempotency and side-effect safety,"idempotent tool, retry safety, side effect, duplicate action","A tool that isn't idempotent (like 'create_invoice') can produce duplicate side effects if a client retries after an ambiguous timeout or transport error.","Design side-effecting tools to accept an idempotency key or to check-before-act, so retries after ambiguous failures are safe.","Build a side-effecting tool with no idempotency guarantee, relying on the calling agent to never retry.","create_invoice(order_id, idempotency_key=request_id)",MEDIUM,https://modelcontextprotocol.io/docs/concepts/tools
